Country,Year,Reported Cholera Deaths
AFG,1993,931
AND,1993,0
ARG,1993,34
AUS,1993,0
AUT,1993,0
BDI,1993,0
BEL,1993,0
BEN,1993,2
BGD,1993,0
BLZ,1993,3
BOL,1993,254
BRA,1993,644
CAN,1993,1
CHE,1993,0
CHL,1993,0
CHN,1993,94
CIV,1993,42
CMR,1993,19
COD,1993,175
COL,1993,0
CRI,1993,0
DEU,1993,0
DJI,1993,99
DNK,1993,0
ECU,1993,72
ESP,1993,0
EST,1993,0
FRA,1993,0
GBR,1993,0
GEO,1993,0
GHA,1993,38
GRC,1993,0
GTM,1993,306
GUY,1993,2
HND,1993,102
IDN,1993,25
IND,1993,51
IRN,1993,5
IRQ,1993,0
JPN,1993,0
KAZ,1993,0
KHM,1993,104
KOR,1993,0
KWT,1993,0
LAO,1993,255
LBN,1993,23
LKA,1993,0
MDA,1993,0
MEX,1993,193
MMR,1993,52
MOZ,1993,507
MWI,1993,524
MYS,1993,13
NGA,1993,266
NIC,1993,220
NLD,1993,0
NPL,1993,0
PAK,1993,206
PAN,1993,4
PER,1993,575
PHL,1993,10
PRY,1993,0
ROU,1993,0
RUS,1993,2
RWA,1993,34
SGP,1993,0
SLV,1993,14
TGO,1993,2
TJK,1993,5
TZA,1993,74
USA,1993,0
VEN,1993,10
VNM,1993,9
ZAF,1993,2
ZMB,1993,426
ZWE,1993,332
