Country,Year,Reported Cholera Cases
AFG,1994,38735
AGO,1994,3443
ALB,1994,626
ARG,1994,889
AUS,1994,3
AUT,1994,1
AZE,1994,18
BDI,1994,562
BEL,1994,1
BEN,1994,187
BGD,1994,562
BLR,1994,3
BLZ,1994,6
BOL,1994,2710
BRA,1994,49455
CAN,1994,2
CHL,1994,1
CHN,1994,34877
CIV,1994,1108
CMR,1994,527
COD,1994,58057
COL,1994,996
CPV,1994,128
CRI,1994,38
DEU,1994,5
DJI,1994,1122
DNK,1994,2
DZA,1994,118
ECU,1994,1785
ESP,1994,1
FIN,1994,2
FRA,1994,4
GBR,1994,18
GHA,1994,2267
GIN,1994,31415
GMB,1994,1
GNB,1994,15296
GTM,1994,5282
HND,1994,5049
IDN,1994,47
IND,1994,4973
IRN,1994,15
IRQ,1994,838
ITA,1994,12
JPN,1994,91
KAZ,1994,3
KEN,1994,880
KGZ,1994,4
KHM,1994,3085
KOR,1994,34
LAO,1994,9660
LBN,1994,3
LBR,1994,764
MAR,1994,6
MDA,1994,8
ME1,1994,2
MEX,1994,4059
MMR,1994,421
MOZ,1994,692
MWI,1994,107
MYS,1994,534
NER,1994,732
NGA,1994,2859
NIC,1994,7821
NLD,1994,1
NPL,1994,32
NZL,1994,2
PER,1994,23887
PHL,1994,3340
POL,1994,1
PRT,1994,1
ROU,1994,80
RUS,1994,1048
RWA,1994,10
SGP,1994,41
SLE,1994,9709
SLV,1994,11745
SOM,1994,28334
SWE,1994,1
TCD,1994,1094
TGO,1994,47
THA,1994,3487
TJK,1994,10
TKM,1994,1
TZA,1994,2240
UGA,1994,704
UKR,1994,813
USA,1994,47
UZB,1994,1
VNM,1994,5776
ZAF,1994,4
