Country,Year,Reported Cholera Cases
AGO,1971,1
BEN,1971,2133
BFA,1971,1761
BGD,1971,2342
CIV,1971,668
CMR,1971,2167
DEU,1971,1
DJI,1971,440
DZA,1971,1332
ESP,1971,22
ETH,1971,2187
FRA,1971,3
GBR,1971,3
GHA,1971,13048
IDN,1971,23555
IND,1971,71386
IRN,1971,344
ISR,1971,1
KEN,1971,239
LBR,1971,606
MAR,1971,56
MDG,1971,2
MLI,1971,4792
MMR,1971,378
MRT,1971,1139
MYS,1971,53
NER,1971,9265
NGA,1971,22931
NPL,1971,4
OMN,1971,9
PAK,1971,1185
PHL,1971,3585
PRT,1971,64
SEN,1971,265
SLE,1971,211
SOM,1971,89
SWE,1971,4
SYR,1971,5
TCD,1971,8230
TGO,1971,335
UGA,1971,757
VNM,1971,270
YEM,1971,190
