Country,Year,Cholera Case Fatality Rate
BEN,1970,21.14
BFA,1970,100
BGD,1970,25.46
BRN,1970,0
CIV,1970,4.49
CZE,1970,25
DJI,1970,50
ETH,1970,8.47
FRA,1970,0
GBR,1970,0
GHA,1970,6.59
GIN,1970,3
IDN,1970,20.96
IND,1970,22.7
ISR,1970,5.41
JOR,1970,0
KOR,1970,4.84
KWT,1970,0
LBN,1970,1.85
LBR,1970,16.07
LBY,1970,2.43
MLI,1970,7.54
MMR,1970,8.34
MYS,1970,2.83
NER,1970,50
NGA,1970,26.67
NPL,1970,0.26
PAK,1970,0
PHL,1970,3.47
RUS,1970,0
SAU,1970,5.26
SLE,1970,25.26
SOM,1970,23.26
SYR,1970,0
TGO,1970,4
TUN,1970,0
TUR,1970,13.54
VNM,1970,1.22
