Country,Year,Cholera Case Fatality Rate
AFG,2005,0
AGO,2005,0
AUS,2005,0
AUT,2005,0
BDI,2005,1.38
BEL,2005,0
BEN,2005,1.47
BFA,2005,1.52
BRA,2005,0
BWA,2005,0
CAF,2005,0
CAN,2005,0
CHN,2005,0.41
CIV,2005,0
CMR,2005,3.86
COD,2005,0
COG,2005,0
COM,2005,0
CPV,2005,0
DZA,2005,0
ERI,2005,0
ETH,2005,0
FIN,2005,0
FSM,2005,0
GAB,2005,0
GHA,2005,1.61
GIN,2005,2.8
GMB,2005,6.07
GNB,2005,1.59
GNQ,2005,0.52
IDN,2005,1.42
IND,2005,0.19
IRN,2005,0.97
JPN,2005,0
KEN,2005,2.57
LBN,2005,0
LBR,2005,0.47
LSO,2005,0
MDG,2005,0
MLI,2005,6.45
MNG,2005,0
MOZ,2005,1.08
MRT,2005,1.69
MUS,2005,0
MWI,2005,1
NAM,2005,0
NER,2005,9.95
NGA,2005,3.89
NLD,2005,0
NOR,2005,0
NZL,2005,0
PHL,2005,1.44
PNG,2005,0
POL,2005,0
QAT,2005,0
RWA,2005,0
SEN,2005,0
SLE,2005,0
STP,2005,1.68
SWZ,2005,0
SYC,2005,0
TCD,2005,15.56
TGO,2005,1.14
TZA,2005,3.19
UGA,2005,0
USA,2005,0
VNM,2005,0
ZAF,2005,0.8
ZMB,2005,0.47
ZWE,2005,5.04
