Country,Year,Reported Cholera Cases
AUS,1981,2
BDI,1981,582
BEN,1981,2
CHE,1981,2
CMR,1981,243
COD,1981,2379
DEU,1981,4
FIN,1981,1
FRA,1981,20
GAB,1981,7
GBR,1981,12
GHA,1981,943
IDN,1981,18354
IND,1981,4681
IRN,1981,6034
JOR,1981,870
JPN,1981,19
KEN,1981,2424
KWT,1981,8
LBR,1981,1582
LKA,1981,574
ME1,1981,2
MMR,1981,28
MOZ,1981,1753
MWI,1981,261
MYS,1981,469
NER,1981,7
NGA,1981,107
NLD,1981,2
NPL,1981,24
PAK,1981,4
PHL,1981,864
POL,1981,1
RWA,1981,24
SAU,1981,13
SEN,1981,428
SGP,1981,34
SWZ,1981,238
THA,1981,39
TZA,1981,4241
VNM,1981,157
ZAF,1981,4180
ZMB,1981,14
