Country,Year,Reported Cholera Cases
AFG,2009,662
AGO,2009,2019
BDI,2009,355
BEN,2009,74
BWA,2009,15
CAN,2009,2
CHN,2009,85
CIV,2009,5
CMR,2009,804
COD,2009,22899
COG,2009,93
ETH,2009,31509
FRA,2009,1
GBR,2009,16
GHA,2009,1294
GIN,2009,42
GNB,2009,5
IRQ,2009,6
KEN,2009,11425
KHM,2009,39
LBR,2009,1070
MOZ,2009,19679
MWI,2009,5751
MYS,2009,187
NAM,2009,159
NGA,2009,13691
NPL,2009,82
PNG,2009,1957
PRY,2009,5
RWA,2009,67
SDN,2009,13681
SEN,2009,4
SOM,2009,208
SWZ,2009,19
TCD,2009,67
TGO,2009,218
THA,2009,315
TZA,2009,7700
UGA,2009,1095
USA,2009,10
VNM,2009,471
YEM,2009,55
ZAF,2009,10520
ZMB,2009,4712
ZWE,2009,68153
