Country,Year,Reported Cholera Deaths
AFG,1994,118
AGO,1994,187
ALB,1994,25
ARG,1994,15
AUS,1994,0
AUT,1994,0
AZE,1994,0
BDI,1994,41
BEL,1994,0
BEN,1994,20
BGD,1994,41
BLR,1994,0
BLZ,1994,1
BOL,1994,46
BRA,1994,452
CAN,1994,0
CHL,1994,0
CHN,1994,319
CIV,1994,55
CMR,1994,61
COD,1994,4181
COL,1994,14
CPV,1994,12
CRI,1994,0
DEU,1994,0
DJI,1994,15
DNK,1994,0
DZA,1994,4
ECU,1994,16
ESP,1994,0
FRA,1994,0
GBR,1994,0
GHA,1994,54
GIN,1994,671
GMB,1994,0
GNB,1994,285
GTM,1994,36
HND,1994,102
IDN,1994,0
IND,1994,32
IRN,1994,0
IRQ,1994,0
ITA,1994,9
JPN,1994,0
KAZ,1994,0
KEN,1994,28
KGZ,1994,0
KHM,1994,211
KOR,1994,0
LAO,1994,606
LBR,1994,17
MAR,1994,0
MDA,1994,0
ME1,1994,0
MEX,1994,56
MMR,1994,4
MOZ,1994,27
MWI,1994,11
MYS,1994,0
NER,1994,83
NGA,1994,313
NIC,1994,134
NLD,1994,0
NPL,1994,0
NZL,1994,0
PER,1994,199
PHL,1994,27
POL,1994,0
PRT,1994,0
ROU,1994,4
RUS,1994,15
RWA,1994,0
SGP,1994,1
SLE,1994,623
SLV,1994,38
SOM,1994,1206
SWE,1994,0
TCD,1994,43
TGO,1994,5
THA,1994,5
TJK,1994,0
TKM,1994,0
TZA,1994,155
UGA,1994,39
UKR,1994,20
USA,1994,0
UZB,1994,0
VNM,1994,68
ZAF,1994,0
