Country,Year,Reported Cholera Cases
AGO,1991,8590
BDI,1991,3
BEN,1991,7474
BFA,1991,537
BGD,1991,8
BOL,1991,206
BRA,1991,2103
BTN,1991,422
CAN,1991,2
CHL,1991,41
CHN,1991,210
CIV,1991,604
CMR,1991,4026
COD,1991,4066
COL,1991,11979
ECU,1991,46320
ESP,1991,1
FRA,1991,7
GBR,1991,8
GHA,1991,13172
GTM,1991,3674
HND,1991,17
IDN,1991,6202
IND,1991,6993
IRN,1991,1892
IRQ,1991,877
JPN,1991,90
KHM,1991,770
KOR,1991,113
LBR,1991,132
LKA,1991,70
MEX,1991,2690
MMR,1991,924
MOZ,1991,7847
MWI,1991,8088
MYS,1991,506
NER,1991,3238
NGA,1991,59478
NIC,1991,1
NPL,1991,30648
PAN,1991,1178
PER,1991,322562
ROU,1991,226
RUS,1991,78
RWA,1991,679
SGP,1991,34
SLV,1991,947
STP,1991,3
TCD,1991,13915
TGO,1991,2396
TZA,1991,5676
UGA,1991,279
UKR,1991,75
USA,1991,26
VEN,1991,15
VNM,1991,52
ZAF,1991,10
ZMB,1991,13154
