Country,Year,Reported Cholera Deaths
BEN,1971,274
BFA,1971,495
BGD,1971,386
CIV,1971,9
CMR,1971,336
DEU,1971,0
DJI,1971,81
DZA,1971,110
ETH,1971,124
FRA,1971,0
GBR,1971,0
GHA,1971,641
IDN,1971,3607
IND,1971,10478
ISR,1971,0
KEN,1971,38
LBR,1971,106
MAR,1971,0
MDG,1971,0
MLI,1971,1321
MMR,1971,42
MRT,1971,53
MYS,1971,1
NER,1971,2344
NGA,1971,2945
NPL,1971,0
OMN,1971,8
PAK,1971,43
PHL,1971,109
PRT,1971,4
RUS,1971,0
SEN,1971,60
SLE,1971,13
SOM,1971,10
SWE,1971,0
SYR,1971,0
TCD,1971,2411
TGO,1971,26
UGA,1971,30
VNM,1971,1
YEM,1971,26
