Country,Year,Reported Cholera Cases
AFG,2014,45481
AGO,2014,213
AUS,2014,2
BDI,2014,582
BEN,2014,832
CAN,2014,2
CHL,2014,1
CHN,2014,24
CIV,2014,235
CMR,2014,3355
COD,2014,22203
CUB,2014,76
DEU,2014,1
DOM,2014,603
FRA,2014,1
GBR,2014,14
GHA,2014,28944
GIN,2014,1
GNB,2014,11
HTI,2014,27753
IND,2014,4031
JPN,2014,5
KEN,2014,35
LBR,2014,44
MEX,2014,14
MMR,2014,400
MOZ,2014,480
MYS,2014,134
NAM,2014,485
NER,2014,2059
NGA,2014,35996
NPL,2014,933
PAK,2014,1218
PHL,2014,4547
RUS,2014,1
SGP,2014,2
SOM,2014,2820
SSD,2014,6421
TGO,2014,262
THA,2014,12
UGA,2014,309
USA,2014,7
