Country,Year,Cholera Case Fatality Rate
AFG,2012,0.1
AGO,2012,8.07
AUS,2012,0
BDI,2012,0.47
BEN,2012,0.48
BFA,2012,4.9
BHS,2012,0
CAF,2012,0
CHN,2012,0
CIV,2012,4.48
CMR,2012,1.38
COD,2012,2.43
COG,2012,3.13
CUB,2012,0.72
DOM,2012,0.86
GBR,2012,0
GHA,2012,1.05
GIN,2012,1.81
GNB,2012,0.72
HTI,2012,0.8
IRN,2012,0
IRQ,2012,0
JPN,2012,0
LBR,2012,0
MEX,2012,0
MLI,2012,8.68
MMR,2012,0
MOZ,2012,1.08
MWI,2012,1.07
MYS,2012,0.4
NER,2012,2.08
NGA,2012,3.02
NPL,2012,0
PAK,2012,5.6
PHL,2012,0.8
RUS,2012,0
RWA,2012,0
SEN,2012,0
SGP,2012,0
SLE,2012,1.29
SOM,2012,0.89
TGO,2012,1.64
THA,2012,0
TZA,2012,1.4
UGA,2012,2.13
USA,2012,0
ZMB,2012,1.01
ZWE,2012,4.35
