Country,Year,Reported Cholera Cases
AFG,2015,58064
AUS,2015,2
BDI,2015,442
BHR,2015,8
CAN,2015,3
CHE,2015,2
CHN,2015,13
CIV,2015,199
CMR,2015,124
COD,2015,19182
CUB,2015,65
DOM,2015,546
ESP,2015,2
FRA,2015,1
GBR,2015,15
GHA,2015,692
HTI,2015,36045
IND,2015,889
IRN,2015,86
IRQ,2015,4965
JPN,2015,7
KEN,2015,13291
KWT,2015,5
MEX,2015,1
MMR,2015,103
MOZ,2015,8739
MWI,2015,693
MYS,2015,244
NER,2015,51
NGA,2015,5290
NOR,2015,1
NPL,2015,80
OMN,2015,1
SOM,2015,7536
SSD,2015,1818
SWE,2015,1
TGO,2015,35
THA,2015,125
TZA,2015,11563
UGA,2015,1461
USA,2015,4
ZWE,2015,60
