Country,Year,Cholera Case Fatality Rate
AFG,1993,2.51
ARG,1993,1.45
AUS,1993,0
AUT,1993,0
BDI,1993,0
BEL,1993,0
BEN,1993,20
BGD,1993,0
BLZ,1993,2.22
BOL,1993,2.51
BRA,1993,1.09
CAN,1993,16.67
CHE,1993,0
CHL,1993,0
CHN,1993,0.81
CIV,1993,5.8
CMR,1993,2.93
COD,1993,17.75
COL,1993,0
CRI,1993,0
DEU,1993,0
DJI,1993,0.98
DNK,1993,0
ECU,1993,1.05
ESP,1993,0
EST,1993,0
FRA,1993,0
GBR,1993,0
GEO,1993,0
GHA,1993,2.62
GRC,1993,0
GTM,1993,1
GUY,1993,3.03
HND,1993,2.54
IDN,1993,0.7
IND,1993,0.42
IRN,1993,0.37
IRQ,1993,0
JPN,1993,0
KAZ,1993,0
KHM,1993,4.62
KOR,1993,0
KWT,1993,0
LAO,1993,4.62
LBN,1993,6.69
LKA,1993,0
MDA,1993,0
MEX,1993,1.8
MMR,1993,2.96
MOZ,1993,2.56
MWI,1993,2.08
MYS,1993,1.31
NGA,1993,6.39
NIC,1993,3.32
NLD,1993,0
NPL,1993,0
PAK,1993,1.7
PAN,1993,9.52
PER,1993,0.79
PHL,1993,1.41
PRY,1993,0
ROU,1993,0
RUS,1993,8.7
RWA,1993,5.99
SGP,1993,0
SLV,1993,0.21
TGO,1993,10.53
TJK,1993,3.03
TZA,1993,9.34
USA,1993,0
VEN,1993,2.45
VNM,1993,0.27
ZAF,1993,2.56
ZMB,1993,6.3
ZWE,1993,6.17
