Country,Year,Reported Cholera Deaths
AUS,2004,0
BDI,2004,14
BEL,2004,0
BEN,2004,9
BRA,2004,0
CAF,2004,48
CAN,2004,0
CHN,2004,1
CIV,2004,9
CMR,2004,137
COD,2004,228
COL,2004,0
COM,2004,0
DEU,2004,0
DNK,2004,0
ECU,2004,0
ETH,2004,0
GBR,2004,0
GHA,2004,6
GIN,2004,117
GNB,2004,3
GNQ,2004,1
IND,2004,7
IRN,2004,1
IRQ,2004,0
JPN,2004,0
KEN,2004,15
KHM,2004,1
KOR,2004,0
LBR,2004,4
MLI,2004,205
MOZ,2004,110
MWI,2004,4
MYS,2004,0
NER,2004,57
NGA,2004,185
NLD,2004,0
PHL,2004,3
QAT,2004,0
RUS,2004,0
RWA,2004,0
SEN,2004,10
SGP,2004,1
SLE,2004,42
SOM,2004,26
SWE,2004,0
SWZ,2004,16
TCD,2004,272
TGO,2004,33
TZA,2004,272
UGA,2004,91
USA,2004,0
ZAF,2004,35
ZMB,2004,373
ZWE,2004,9
