Country,Year,Reported Cholera Cases
AFG,1999,24639
AUS,1999,4
AUT,1999,1
BDI,1999,3440
BEN,1999,855
BFA,1999,93
BGD,1999,3440
BLZ,1999,12
BRA,1999,4495
BRN,1999,93
CHN,1999,4589
CMR,1999,1584
COD,1999,12711
COG,1999,4813
COL,1999,42
COM,1999,1180
DEU,1999,3
ECU,1999,90
GHA,1999,9432
GIN,1999,599
GTM,1999,2077
HND,1999,56
IND,1999,3839
IRN,1999,1369
IRQ,1999,1985
JPN,1999,40
KEN,1999,11039
KHM,1999,1711
LBR,1999,215
LKA,1999,108
MDG,1999,9973
MLI,1999,6
MOZ,1999,44329
MWI,1999,26508
MYS,1999,535
NER,1999,1186
NGA,1999,26358
NIC,1999,552
NLD,1999,2
NZL,1999,1
PER,1999,1546
PHL,1999,330
RUS,1999,8
RWA,1999,327
SDN,1999,0
SGP,1999,11
SLE,1999,863
SLV,1999,134
SOM,1999,17757
SWZ,1999,7
TCD,1999,217
TGO,1999,667
TZA,1999,12266
UGA,1999,5179
UKR,1999,2
USA,1999,6
VEN,1999,376
VNM,1999,169
ZAF,1999,68
ZMB,1999,13511
ZWE,1999,5637
