Country,Year,Reported Cholera Cases
AFG,1993,37046
ARG,1993,2350
AUS,1993,5
AUT,1993,1
BDI,1993,78
BEL,1993,1
BEN,1993,10
BGD,1993,78
BLZ,1993,135
BOL,1993,10134
BRA,1993,59212
CAN,1993,6
CHE,1993,2
CHL,1993,32
CHN,1993,11673
CIV,1993,724
CMR,1993,648
COD,1993,986
COL,1993,230
CRI,1993,14
DEU,1993,1
DJI,1993,10055
DNK,1993,2
ECU,1993,6833
ESP,1993,3
EST,1993,2
FRA,1993,5
GBR,1993,13
GEO,1993,8
GHA,1993,1448
GRC,1993,1
GTM,1993,30604
GUY,1993,66
HND,1993,4013
IDN,1993,3564
IND,1993,12084
IRN,1993,1347
IRQ,1993,280
JPN,1993,89
KAZ,1993,74
KHM,1993,2252
KOR,1993,5
KWT,1993,1
LAO,1993,5521
LBN,1993,344
LKA,1993,1
MDA,1993,1
MEX,1993,10712
MMR,1993,1758
MOZ,1993,19803
MWI,1993,25193
MYS,1993,995
NGA,1993,4160
NIC,1993,6631
NLD,1993,3
NPL,1993,31
PAK,1993,12092
PAN,1993,42
PER,1993,72404
PHL,1993,708
PRY,1993,3
ROU,1993,15
RUS,1993,23
RWA,1993,568
SGP,1993,24
SLV,1993,6573
TGO,1993,19
TJK,1993,165
TZA,1993,792
USA,1993,19
VEN,1993,409
VNM,1993,3361
ZAF,1993,78
ZMB,1993,6766
ZWE,1993,5385
