Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,YEAR,Dim1,Value,NumericValue,Low,High
7383444,COUNTRY,TUV,WPR,Western Pacific,SEX,2001,Female,<0.1 [<0.1 - 0.17],0.1,0.1,0.17
7409775,COUNTRY,POL,EUR,Europe,SEX,2001,Female,No data,,,
7419890,COUNTRY,DEU,EUR,Europe,SEX,2001,Female,No data,,,
7442296,COUNTRY,RWA,AFR,Africa,SEX,2001,Female,3.3 [3.1 - 3.7],3.3,3.1,3.7
7468276,COUNTRY,YEM,EMR,Eastern Mediterranean,SEX,2001,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
7604205,REGION,AFR,,,SEX,2001,Female,3.5 [2.7 - 4.8],3.5,2.7,4.8
7610535,COUNTRY,GRC,EUR,Europe,SEX,2001,Female,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
7647062,REGION,WPR,,,SEX,2001,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
7683284,COUNTRY,KHM,WPR,Western Pacific,SEX,2001,Female,0.66 [0.58 - 0.75],0.66,0.58,0.75
7718691,COUNTRY,VEN,AMR,Americas,SEX,2001,Female,0.23 [0.2 - 0.27],0.23,0.2,0.27
7735888,COUNTRY,KNA,AMR,Americas,SEX,2001,Female,0.14 [0.12 - 0.16],0.14,0.12,0.16
7881386,COUNTRY,ATG,AMR,Americas,SEX,2001,Female,No data,,,
7923742,COUNTRY,BHS,AMR,Americas,SEX,2001,Female,0.77 [0.66 - 0.87],0.77,0.66,0.87
7980928,COUNTRY,PER,AMR,Americas,SEX,2001,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
7986658,COUNTRY,DZA,AFR,Africa,SEX,2001,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
8072043,COUNTRY,COK,WPR,Western Pacific,SEX,2001,Female,No data,,,
8162086,COUNTRY,GRD,AMR,Americas,SEX,2001,Female,No data,,,
8187503,COUNTRY,JAM,AMR,Americas,SEX,2001,Female,0.93 [0.82 - 1],0.93,0.82,1.0
8192501,COUNTRY,KWT,EMR,Eastern Mediterranean,SEX,2001,Female,No data,,,
8247910,COUNTRY,EGY,EMR,Eastern Mediterranean,SEX,2001,Female,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
8260827,COUNTRY,GTM,AMR,Americas,SEX,2001,Female,0.17 [0.12 - 0.23],0.17,0.12,0.23
8310443,COUNTRY,BEN,AFR,Africa,SEX,2001,Female,0.98 [0.82 - 1.2],0.98,0.82,1.2
68972,COUNTRY,BLR,EUR,Europe,SEX,2001,Female,No data,,,
95839,COUNTRY,CZE,EUR,Europe,SEX,2001,Female,No data,,,
102055,COUNTRY,COM,AFR,Africa,SEX,2001,Female,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
142087,COUNTRY,LBR,AFR,Africa,SEX,2001,Female,No data,,,
153037,COUNTRY,ISR,EUR,Europe,SEX,2001,Female,No data,,,
