Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,Dim1,YEAR,Value,NumericValue,Low,High
8984282,COUNTRY,SMR,EUR,Europe,SEX,Female,2020,No data,,,
9172188,COUNTRY,AGO,AFR,Africa,SEX,Female,2020,1 [0.86 - 1.3],1.0,0.86,1.3
9200417,COUNTRY,GNB,AFR,Africa,SEX,Female,2020,0.77 [0.51 - 1.1],0.77,0.51,1.1
9286044,COUNTRY,MDV,SEAR,South-East Asia,SEX,Female,2020,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
9316962,COUNTRY,RUS,EUR,Europe,SEX,Female,2020,No data,,,
9341996,COUNTRY,IND,SEAR,South-East Asia,SEX,Female,2020,No data,,,
9361263,COUNTRY,AUT,EUR,Europe,SEX,Female,2020,No data,,,
9366589,COUNTRY,PRT,EUR,Europe,SEX,Female,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
9375986,COUNTRY,AUS,WPR,Western Pacific,SEX,Female,2020,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
9387298,COUNTRY,LSO,AFR,Africa,SEX,Female,2020,4.6 [3.6 - 6],4.6,3.6,6.0
9395137,COUNTRY,TKM,EUR,Europe,SEX,Female,2020,No data,,,
9457742,COUNTRY,BEL,EUR,Europe,SEX,Female,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
9468085,COUNTRY,SAU,EMR,Eastern Mediterranean,SEX,Female,2020,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
9528119,COUNTRY,LTU,EUR,Europe,SEX,Female,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
9588082,COUNTRY,SVN,EUR,Europe,SEX,Female,2020,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
9642766,COUNTRY,COM,AFR,Africa,SEX,Female,2020,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
9659319,COUNTRY,HND,AMR,Americas,SEX,Female,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
9732834,REGION,SEAR,,,SEX,Female,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
9765595,COUNTRY,ARM,EUR,Europe,SEX,Female,2020,0.12 [<0.1 - 0.2],0.12,0.1,0.2
9770278,REGION,EUR,,,SEX,Female,2020,0.1 [<0.1 - 0.12],0.1,0.1,0.12
9784620,COUNTRY,CUB,AMR,Americas,SEX,Female,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
9893380,COUNTRY,ARE,EMR,Eastern Mediterranean,SEX,Female,2020,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
9958145,COUNTRY,UZB,EUR,Europe,SEX,Female,2020,No data,,,
183,COUNTRY,NGA,AFR,Africa,SEX,Female,2020,0.45 [0.36 - 0.58],0.45,0.36,0.58
110536,REGION,WPR,,,SEX,Female,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
210434,COUNTRY,GRD,AMR,Americas,SEX,Female,2020,No data,,,
213708,COUNTRY,CAF,AFR,Africa,SEX,Female,2020,1.1 [0.6 - 1.8],1.1,0.6,1.8
248403,COUNTRY,DOM,AMR,Americas,SEX,Female,2020,0.4 [0.23 - 0.52],0.4,0.23,0.52
353320,COUNTRY,MYS,WPR,Western Pacific,SEX,Female,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
400048,COUNTRY,MOZ,AFR,Africa,SEX,Female,2020,5.5 [4.7 - 6.5],5.5,4.7,6.5
401064,COUNTRY,SYC,AFR,Africa,SEX,Female,2020,No data,,,
428348,COUNTRY,DJI,EMR,Eastern Mediterranean,SEX,Female,2020,0.38 [0.22 - 0.6],0.38,0.22,0.6
454037,COUNTRY,COD,AFR,Africa,SEX,Female,2020,0.35 [0.24 - 0.48],0.35,0.24,0.48
472157,COUNTRY,JPN,WPR,Western Pacific,SEX,Female,2020,No data,,,
510074,COUNTRY,ISR,EUR,Europe,SEX,Female,2020,No data,,,
511468,COUNTRY,GIN,AFR,Africa,SEX,Female,2020,0.63 [0.43 - 0.88],0.63,0.43,0.88
545757,COUNTRY,BGD,SEAR,South-East Asia,SEX,Female,2020,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
606351,COUNTRY,WSM,WPR,Western Pacific,SEX,Female,2020,No data,,,
629369,COUNTRY,SLV,AMR,Americas,SEX,Female,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
706724,COUNTRY,NIU,WPR,Western Pacific,SEX,Female,2020,No data,,,
711359,COUNTRY,BHS,AMR,Americas,SEX,Female,2020,0.14 [0.1 - 0.18],0.14,0.1,0.18
829496,COUNTRY,MRT,AFR,Africa,SEX,Female,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
866320,COUNTRY,KEN,AFR,Africa,SEX,Female,2020,0.64 [0.41 - 1],0.64,0.41,1.0
875661,COUNTRY,ZAF,AFR,Africa,SEX,Female,2020,4.9 [4.3 - 5.4],4.9,4.3,5.4
917415,REGION,AMR,,,SEX,Female,2020,<0.1 [<0.1 - 0.13],0.1,0.1,0.13
970557,COUNTRY,NRU,WPR,Western Pacific,SEX,Female,2020,No data,,,
999749,COUNTRY,STP,AFR,Africa,SEX,Female,2020,No data,,,
1028144,COUNTRY,DZA,AFR,Africa,SEX,Female,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1062238,COUNTRY,JAM,AMR,Americas,SEX,Female,2020,0.36 [0.29 - 0.44],0.36,0.29,0.44
1093036,COUNTRY,ZWE,AFR,Africa,SEX,Female,2020,1.5 [1.2 - 1.9],1.5,1.2,1.9
1102395,COUNTRY,USA,AMR,Americas,SEX,Female,2020,No data,,,
