Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,YEAR,Dim1,Value,NumericValue,Low,High
2453968,COUNTRY,BTN,SEAR,South-East Asia,SEX,2000,Female,0.11 [<0.1 - 0.16],0.11,0.1,0.16
45157,COUNTRY,URY,AMR,Americas,SEX,2000,Female,0.11 [<0.1 - 0.16],0.11,0.1,0.16
82748,COUNTRY,GNB,AFR,Africa,SEX,2000,Female,4.9 [4.1 - 5.8],4.9,4.1,5.8
116415,COUNTRY,FIN,EUR,Europe,SEX,2000,Female,No data,,,
187976,COUNTRY,FJI,WPR,Western Pacific,SEX,2000,Female,<0.1 [<0.1 - 0.13],0.1,0.1,0.13
202281,COUNTRY,SVN,EUR,Europe,SEX,2000,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
229642,COUNTRY,IND,SEAR,South-East Asia,SEX,2000,Female,No data,,,
311719,COUNTRY,BIH,EUR,Europe,SEX,2000,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
363919,COUNTRY,ISL,EUR,Europe,SEX,2000,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
407925,GLOBAL,GLOBAL,,,SEX,2000,Female,0.49 [0.38 - 0.65],0.49,0.38,0.65
463659,COUNTRY,BFA,AFR,Africa,SEX,2000,Female,1 [0.85 - 1.2],1.0,0.85,1.2
538453,COUNTRY,LBN,EMR,Eastern Mediterranean,SEX,2000,Female,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
651702,COUNTRY,CMR,AFR,Africa,SEX,2000,Female,No data,,,
696285,COUNTRY,COK,WPR,Western Pacific,SEX,2000,Female,No data,,,
783040,COUNTRY,PAK,EMR,Eastern Mediterranean,SEX,2000,Female,No data,,,
795000,COUNTRY,SLV,AMR,Americas,SEX,2000,Female,0.21 [0.19 - 0.23],0.21,0.19,0.23
798120,COUNTRY,HRV,EUR,Europe,SEX,2000,Female,No data,,,
908305,COUNTRY,KHM,WPR,Western Pacific,SEX,2000,Female,0.79 [0.69 - 0.89],0.79,0.69,0.89
1040330,COUNTRY,UGA,AFR,Africa,SEX,2000,Female,5.3 [4.8 - 5.8],5.3,4.8,5.8
1083554,COUNTRY,BLZ,AMR,Americas,SEX,2000,Female,0.83 [0.71 - 0.93],0.83,0.71,0.93
1112295,COUNTRY,MAR,EMR,Eastern Mediterranean,SEX,2000,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1115495,COUNTRY,MDV,SEAR,South-East Asia,SEX,2000,Female,No data,,,
1118298,COUNTRY,LUX,EUR,Europe,SEX,2000,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1120462,COUNTRY,MKD,EUR,Europe,SEX,2000,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1151776,COUNTRY,MDA,EUR,Europe,SEX,2000,Female,0.29 [0.2 - 0.42],0.29,0.2,0.42
1351505,COUNTRY,GRD,AMR,Americas,SEX,2000,Female,No data,,,
1420571,COUNTRY,POL,EUR,Europe,SEX,2000,Female,No data,,,
1453492,COUNTRY,KNA,AMR,Americas,SEX,2000,Female,No data,,,
1455981,COUNTRY,STP,AFR,Africa,SEX,2000,Female,0.93 [0.71 - 1.2],0.93,0.71,1.2
1509974,COUNTRY,NZL,WPR,Western Pacific,SEX,2000,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1539187,COUNTRY,ERI,AFR,Africa,SEX,2000,Female,0.94 [0.66 - 1.3],0.94,0.66,1.3
1552881,COUNTRY,ATG,AMR,Americas,SEX,2000,Female,No data,,,
1613626,COUNTRY,GBR,EUR,Europe,SEX,2000,Female,No data,,,
1682896,COUNTRY,ETH,AFR,Africa,SEX,2000,Female,1.4 [0.59 - 2.9],1.4,0.59,2.9
1726595,COUNTRY,ARG,AMR,Americas,SEX,2000,Female,<0.1 [<0.1 - 0.11],0.1,0.1,0.11
