Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,YEAR,Dim1,Value,NumericValue,Low,High
8542543,COUNTRY,ZWE,AFR,Africa,SEX,2002,Female,12 [8.1 - 17],12.0,8.1,17.0
8552409,COUNTRY,UGA,AFR,Africa,SEX,2002,Female,5 [4.6 - 5.5],5.0,4.6,5.5
8590631,COUNTRY,GUY,AMR,Americas,SEX,2002,Female,0.89 [0.63 - 1.4],0.89,0.63,1.4
8593020,COUNTRY,AGO,AFR,Africa,SEX,2002,Female,1.5 [1.3 - 1.7],1.5,1.3,1.7
8668785,COUNTRY,KIR,WPR,Western Pacific,SEX,2002,Female,No data,,,
8680622,COUNTRY,GNQ,AFR,Africa,SEX,2002,Female,No data,,,
8690999,COUNTRY,SVN,EUR,Europe,SEX,2002,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
8724375,COUNTRY,IRQ,EMR,Eastern Mediterranean,SEX,2002,Female,No data,,,
8803877,COUNTRY,MYS,WPR,Western Pacific,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
8896137,COUNTRY,IND,SEAR,South-East Asia,SEX,2002,Female,No data,,,
8898795,COUNTRY,LTU,EUR,Europe,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
8993739,COUNTRY,CMR,AFR,Africa,SEX,2002,Female,No data,,,
9052909,COUNTRY,MDA,EUR,Europe,SEX,2002,Female,0.3 [0.22 - 0.44],0.3,0.22,0.44
9134260,COUNTRY,TUR,EUR,Europe,SEX,2002,Female,No data,,,
9168396,COUNTRY,PLW,WPR,Western Pacific,SEX,2002,Female,No data,,,
9208365,COUNTRY,GEO,EUR,Europe,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
9261988,COUNTRY,GTM,AMR,Americas,SEX,2002,Female,0.17 [0.16 - 0.19],0.17,0.16,0.19
9292546,COUNTRY,AND,EUR,Europe,SEX,2002,Female,No data,,,
9316016,COUNTRY,BEN,AFR,Africa,SEX,2002,Female,0.98 [0.8 - 1.2],0.98,0.8,1.2
9569972,COUNTRY,EST,EUR,Europe,SEX,2002,Female,0.51 [0.44 - 0.6],0.51,0.44,0.6
9623745,COUNTRY,STP,AFR,Africa,SEX,2002,Female,0.77 [0.59 - 1],0.77,0.59,1.0
9666502,COUNTRY,LUX,EUR,Europe,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
9761336,COUNTRY,CAN,AMR,Americas,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
