Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,YEAR,Dim1,Value,NumericValue,Low,High
7425094,COUNTRY,ARE,EMR,Eastern Mediterranean,SEX,2019,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
7565250,COUNTRY,BHS,AMR,Americas,SEX,2019,Female,0.15 [0.11 - 0.19],0.15,0.11,0.19
7615569,COUNTRY,MNE,EUR,Europe,SEX,2019,Female,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
7639776,COUNTRY,VCT,AMR,Americas,SEX,2019,Female,No data,,,
7679041,COUNTRY,TLS,SEAR,South-East Asia,SEX,2019,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
7772707,COUNTRY,SVK,EUR,Europe,SEX,2019,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
7790183,COUNTRY,GMB,AFR,Africa,SEX,2019,Female,0.67 [0.44 - 1],0.67,0.44,1.0
7804722,COUNTRY,VNM,WPR,Western Pacific,SEX,2019,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
7852786,COUNTRY,TZA,AFR,Africa,SEX,2019,Female,2.1 [1.8 - 2.5],2.1,1.8,2.5
8026712,COUNTRY,LKA,SEAR,South-East Asia,SEX,2019,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
8086202,COUNTRY,PAK,EMR,Eastern Mediterranean,SEX,2019,Female,No data,,,
8149098,COUNTRY,NIU,WPR,Western Pacific,SEX,2019,Female,No data,,,
8260204,COUNTRY,ALB,EUR,Europe,SEX,2019,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
8282156,COUNTRY,AZE,EUR,Europe,SEX,2019,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
8293270,COUNTRY,RUS,EUR,Europe,SEX,2019,Female,No data,,,
63225,COUNTRY,FJI,WPR,Western Pacific,SEX,2019,Female,0.47 [0.38 - 0.59],0.47,0.38,0.59
71946,COUNTRY,JOR,EMR,Eastern Mediterranean,SEX,2019,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
77704,COUNTRY,ERI,AFR,Africa,SEX,2019,Female,0.14 [<0.1 - 0.24],0.14,0.1,0.24
90923,COUNTRY,COD,AFR,Africa,SEX,2019,Female,0.39 [0.28 - 0.53],0.39,0.28,0.53
214909,COUNTRY,UKR,EUR,Europe,SEX,2019,Female,No data,,,
300215,COUNTRY,MUS,AFR,Africa,SEX,2019,Female,No data,,,
311635,COUNTRY,BLZ,AMR,Americas,SEX,2019,Female,0.41 [0.34 - 0.46],0.41,0.34,0.46
409591,COUNTRY,ECU,AMR,Americas,SEX,2019,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
482510,COUNTRY,MAR,EMR,Eastern Mediterranean,SEX,2019,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
486969,COUNTRY,USA,AMR,Americas,SEX,2019,Female,No data,,,
500434,COUNTRY,GRC,EUR,Europe,SEX,2019,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
557295,COUNTRY,LBN,EMR,Eastern Mediterranean,SEX,2019,Female,No data,,,
571892,COUNTRY,SYR,EMR,Eastern Mediterranean,SEX,2019,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
636175,COUNTRY,BRA,AMR,Americas,SEX,2019,Female,No data,,,
686515,COUNTRY,AND,EUR,Europe,SEX,2019,Female,No data,,,
703270,COUNTRY,DMA,AMR,Americas,SEX,2019,Female,No data,,,
707152,COUNTRY,PNG,WPR,Western Pacific,SEX,2019,Female,1.1 [0.94 - 1.3],1.1,0.94,1.3
728374,COUNTRY,SGP,WPR,Western Pacific,SEX,2019,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
736872,COUNTRY,KEN,AFR,Africa,SEX,2019,Female,0.68 [0.43 - 1.1],0.68,0.43,1.1
781775,COUNTRY,CPV,AFR,Africa,SEX,2019,Female,0.37 [0.28 - 0.49],0.37,0.28,0.49
785219,COUNTRY,CYP,EUR,Europe,SEX,2019,Female,No data,,,
794057,COUNTRY,OMN,EMR,Eastern Mediterranean,SEX,2019,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
929178,COUNTRY,TJK,EUR,Europe,SEX,2019,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
978047,COUNTRY,MEX,AMR,Americas,SEX,2019,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1078506,COUNTRY,GHA,AFR,Africa,SEX,2019,Female,0.86 [0.63 - 1.2],0.86,0.63,1.2
1091885,COUNTRY,TGO,AFR,Africa,SEX,2019,Female,0.55 [0.37 - 0.79],0.55,0.37,0.79
1098660,COUNTRY,CMR,AFR,Africa,SEX,2019,Female,0.97 [0.75 - 1.3],0.97,0.75,1.3
