Country,Year,Reported Cholera Cases
BEN,1976,146
BGD,1976,957
CMR,1976,135
COM,1976,5
CPV,1976,219
DEU,1976,2
DJI,1976,2
DZA,1976,286
ESP,1976,2
FRA,1976,5
GBR,1976,1
GHA,1976,102
IDN,1976,41264
IND,1976,14946
IRN,1976,2100
JOR,1976,152
JPN,1976,6
KEN,1976,1359
KWT,1976,2
LBR,1976,646
LKA,1976,728
MAR,1976,2
ME1,1976,3
MMR,1976,1519
MOZ,1976,3
MWI,1976,19
MYS,1976,246
NGA,1976,112
NLD,1976,1
NPL,1976,185
PAK,1976,144
PHL,1976,1258
RUS,1976,1
SAU,1976,50
SWE,1976,1
SYR,1976,795
THA,1976,6
VNM,1976,1068
ZWE,1976,144
