Country,Year,Cholera Case Fatality Rate
AFG,2000,4.57
BDI,2000,1.57
BEN,2000,2.35
BFA,2000,2.27
BGD,2000,1.57
BRA,2000,2.38
CAN,2000,0
CHN,2000,0.16
CMR,2000,23.58
COD,2000,6.28
COG,2000,22.22
COM,2000,2.76
DJI,2000,1.75
ECU,2000,3.7
FRA,2000,0
FSM,2000,0.58
GHA,2000,2.22
GIN,2000,6.17
GTM,2000,0.98
HND,2000,0
IND,2000,0.49
IRN,2000,0.87
IRQ,2000,0.75
JPN,2000,0
KEN,2000,6.74
LBR,2000,2.74
LKA,2000,0
MDG,2000,5.71
MEX,2000,0
MHL,2000,2
MLI,2000,2.71
MOZ,2000,1.35
MWI,2000,2.34
MYS,2000,0.81
NER,2000,16.89
NGA,2000,1.54
NIC,2000,0
PER,2000,0.64
PHL,2000,2.18
RWA,2000,0.65
SGP,2000,0
SLV,2000,0.32
SOM,2000,7.51
SWZ,2000,11.35
TGO,2000,6.8
TZA,2000,3.36
UGA,2000,6.13
USA,2000,0
VEN,2000,0
ZAF,2000,0.35
ZMB,2000,6.73
ZWE,2000,13.31
