Country,Year,Reported Cholera Deaths
AFG,2013,14
AGO,2013,86
AUS,2013,0
BDI,2013,17
BEN,2013,6
CAN,2013,0
CHL,2013,0
CHN,2013,1
CIV,2013,2
CMR,2013,0
COD,2013,491
COG,2013,221
CUB,2013,0
DOM,2013,42
GBR,2013,0
GHA,2013,0
GIN,2013,32
GNB,2013,28
HTI,2013,593
IND,2013,54
IRN,2013,7
IRQ,2013,0
ISR,2013,0
ITA,2013,0
JPN,2013,0
KOR,2013,0
LBR,2013,0
MEX,2013,1
MLI,2013,2
MMR,2013,0
MOZ,2013,19
MYS,2013,1
NAM,2013,0
NER,2013,13
NGA,2013,229
PAK,2013,23
PHL,2013,0
SGP,2013,0
SLE,2013,32
SOM,2013,140
TGO,2013,4
THA,2013,0
TZA,2013,17
UGA,2013,27
USA,2013,0
VEN,2013,0
ZAF,2013,0
