Country,Year,Cholera Case Fatality Rate
AFG,2003,17.07
BDI,2003,4.17
BEN,2003,2.53
CHN,2003,0.45
CIV,2003,4.84
CMR,2003,17.39
COD,2003,3.63
COM,2003,0
GAB,2003,0
GHA,2003,1.96
GIN,2003,16.67
GNB,2003,0.69
IND,2003,0.07
IRN,2003,0
IRQ,2003,0
JPN,2003,0
LBR,2003,0.11
MDG,2003,0
MLI,2003,8.18
MOZ,2003,0.74
MRT,2003,23.53
MWI,2003,1.24
NER,2003,3.77
NGA,2003,4.5
RWA,2003,0
SGP,2003,0
SOM,2003,0.51
SWZ,2003,40.63
TCD,2003,12.73
TGO,2003,7.29
TZA,2003,4.51
UGA,2003,2.95
ZAF,2003,1.15
ZMB,2003,2.76
ZWE,2003,3.47
