Country,Year,Reported Cholera Cases
AUS,1978,1
BDI,1978,8297
BEN,1978,27
BFA,1978,1
BGD,1978,5576
BHR,1978,906
CHE,1978,1
CMR,1978,3
COD,1978,3481
COG,1978,51
DJI,1978,3
DZA,1978,220
GHA,1978,1853
IDN,1978,10683
IND,1978,10585
IRN,1978,264
IRQ,1978,96
JPN,1978,34
KEN,1978,673
KIR,1978,494
KWT,1978,1
LBR,1978,422
LKA,1978,48
MDV,1978,11336
MMR,1978,3551
MWI,1978,263
MYS,1978,1635
NGA,1978,197
NLD,1978,4
NPL,1978,1662
NRU,1978,38
PHL,1978,1408
RWA,1978,838
SAU,1978,30
SEN,1978,315
SGP,1978,83
SWZ,1978,2
TGO,1978,6
THA,1978,4183
TZA,1978,6608
UGA,1978,1120
VNM,1978,2
YEM,1978,414
ZMB,1978,263
