Country,Year,Cholera Case Fatality Rate
AFG,1995,3.14
AGO,1995,7.53
ARG,1995,0.53
AUS,1995,0
BEN,1995,5.91
BFA,1995,7.79
BGD,1995,2.66
BLR,1995,0
BLZ,1995,5.26
BOL,1995,2.36
BRA,1995,0.53
BTN,1995,0
CAN,1995,0
CHE,1995,0
CHN,1995,0.85
CIV,1995,3.69
CMR,1995,3.41
COD,1995,3.98
COL,1995,1.82
CPV,1995,1.86
CRI,1995,0
DEU,1995,0
DNK,1995,0
ECU,1995,1.06
ESP,1995,0
FIN,1995,0
FRA,1995,0
GBR,1995,0
GHA,1995,1.98
GIN,1995,8.68
GMB,1995,0
GNB,1995,0
GTM,1995,1.19
HND,1995,1.63
IND,1995,0.15
IRN,1995,2.71
IRQ,1995,0.37
ITA,1995,0
JPN,1995,0.31
KAZ,1995,0
KEN,1995,2.52
KHM,1995,2.94
KOR,1995,0
LAO,1995,12.75
LBR,1995,3.68
LBY,1995,9.09
MDA,1995,2.08
MEX,1995,0.83
MLI,1995,10.54
MMR,1995,0.46
MWI,1995,0
MYS,1995,1.22
NER,1995,5.68
NGA,1995,8.22
NIC,1995,1.86
NLD,1995,0
NOR,1995,0
NPL,1995,0
NZL,1995,0
PER,1995,0.76
PHL,1995,0.47
PRT,1995,0
ROU,1995,2.54
RUS,1995,0
RWA,1995,0
SEN,1995,4.8
SGP,1995,0
SLE,1995,4.35
SLV,1995,0.07
SOM,1995,2.06
SWE,1995,0
TGO,1995,6.15
TZA,1995,3.25
UGA,1995,12.27
UKR,1995,1.9
USA,1995,0
VNM,1995,0.74
