Country,Year,Cholera Case Fatality Rate
AFG,2001,2.53
BDI,2001,1.99
BEN,2001,1.8
BFA,2001,1.47
BRA,2001,0
CHN,2001,0
CIV,2001,5.16
CMR,2001,2.7
COD,2001,6.81
COM,2001,1.77
ECU,2001,0
FSM,2001,0
GHA,2001,2.92
GIN,2001,5.61
GTM,2001,0
HND,2001,0
IDN,2001,1.07
IND,2001,0.15
KEN,2001,5.49
KOR,2001,0
LBR,2001,0
MDG,2001,5.72
MEX,2001,0
MLI,2001,13.43
MOZ,2001,1.16
MWI,2001,1.75
MYS,2001,1.97
NER,2001,1.23
NGA,2001,5.15
PER,2001,0
RUS,2001,0
RWA,2001,1.27
SGP,2001,0
SOM,2001,3.62
SWZ,2001,1.91
TCD,2001,4.31
TGO,2001,5.1
TKM,2001,1.07
TON,2001,1.38
TZA,2001,4
UGA,2001,1.62
ZAF,2001,0.22
ZMB,2001,5.31
ZWE,2001,2.15
