Country,Year,Reported Cholera Deaths
AFG,2012,0
AGO,2012,98
AUS,2012,0
BDI,2012,1
BEN,2012,3
BFA,2012,7
BHS,2012,0
CAF,2012,0
CHN,2012,0
CIV,2012,19
CMR,2012,5
COD,2012,819
COG,2012,37
CUB,2012,3
DOM,2012,68
GBR,2012,0
GHA,2012,100
GIN,2012,133
GNB,2012,22
HTI,2012,894
IRN,2012,0
IRQ,2012,4
JPN,2012,0
LBR,2012,0
MEX,2012,0
MLI,2012,19
MMR,2012,0
MOZ,2012,7
MWI,2012,2
MYS,2012,1
NER,2012,110
NGA,2012,18
NPL,2012,0
PAK,2012,8
PHL,2012,14
RUS,2012,0
RWA,2012,0
SEN,2012,0
SGP,2012,0
SLE,2012,299
SOM,2012,200
TGO,2012,1
THA,2012,0
TZA,2012,4
UGA,2012,135
USA,2012,0
ZMB,2012,2
ZWE,2012,1
