Country,Year,Reported Cholera Deaths
AFG,2005,0
AGO,2005,0
AUS,2005,0
AUT,2005,0
BDI,2005,18
BEL,2005,0
BEN,2005,11
BFA,2005,16
BRA,2005,0
BWA,2005,0
CAF,2005,0
CAN,2005,0
CHN,2005,4
CIV,2005,6
CMR,2005,110
COD,2005,244
COG,2005,0
COM,2005,0
CPV,2005,0
DZA,2005,0
ERI,2005,0
ETH,2005,0
FIN,2005,0
FSM,2005,0
GAB,2005,0
GHA,2005,51
GIN,2005,107
GMB,2005,13
GNB,2005,399
GNQ,2005,33
IDN,2005,19
IND,2005,6
IRN,2005,11
JPN,2005,0
KEN,2005,21
LBN,2005,0
LBR,2005,18
LSO,2005,0
MDG,2005,0
MLI,2005,76
MNG,2005,0
MOZ,2005,24
MRT,2005,70
MUS,2005,0
MWI,2005,11
NAM,2005,0
NER,2005,55
NGA,2005,174
NLD,2005,0
NOR,2005,0
NZL,2005,0
PHL,2005,2
PNG,2005,0
POL,2005,0
QAT,2005,0
RWA,2005,0
SEN,2005,458
SLE,2005,0
STP,2005,33
SWZ,2005,0
SYC,2005,0
TCD,2005,14
TGO,2005,15
TZA,2005,94
UGA,2005,98
USA,2005,0
VNM,2005,0
ZAF,2005,28
ZMB,2005,7
ZWE,2005,26
