Country,Year,Reported Cholera Cases
BEN,1970,175
BFA,1970,1
BGD,1970,7419
BRN,1970,24
CIV,1970,868
CZE,1970,4
DJI,1970,6
ETH,1970,850
FRA,1970,1
GBR,1970,1
GHA,1970,2733
GIN,1970,2000
IDN,1970,5997
IND,1970,15067
IRN,1970,19663
ISR,1970,185
JOR,1970,3
JPN,1970,5
KOR,1970,475
KWT,1970,4
LBN,1970,54
LBR,1970,168
LBY,1970,1151
MLI,1970,2665
MMR,1970,911
MYS,1970,106
NER,1970,16
NGA,1970,15
NPL,1970,391
PAK,1970,2
PHL,1970,1095
RUS,1970,720
SAU,1970,266
SLE,1970,293
SOM,1970,43
SYR,1970,49
TGO,1970,75
TUN,1970,27
TUR,1970,384
VNM,1970,82
