Country,Year,Reported Cholera Deaths
AFG,2001,114
BDI,2001,20
BEN,2001,71
BFA,2001,7
BRA,2001,0
CHN,2001,0
CIV,2001,305
CMR,2001,7
COD,2001,390
COM,2001,4
ECU,2001,0
FSM,2001,0
GHA,2001,160
GIN,2001,22
GTM,2001,0
HND,2001,0
IDN,2001,6
IND,2001,6
KEN,2001,55
KOR,2001,0
LBR,2001,0
MDG,2001,413
MEX,2001,0
MLI,2001,9
MOZ,2001,102
MWI,2001,42
MYS,2001,11
NER,2001,1
NGA,2001,119
PER,2001,0
RUS,2001,0
RWA,2001,2
SGP,2001,0
SOM,2001,93
SWZ,2001,107
TCD,2001,226
TGO,2001,130
TKM,2001,6
TON,2001,2
TZA,2001,52
UGA,2001,4
ZAF,2001,232
ZMB,2001,165
ZWE,2001,14
