Country,Year,Reported Cholera Cases
AFG,1997,4170
ARG,1997,637
AUS,1997,2
BDI,1997,1959
BEN,1997,796
BGD,1997,1959
BLZ,1997,2
BOL,1997,1632
BRA,1997,2881
CAF,1997,443
CHL,1997,4
CHN,1997,1177
CMR,1997,1709
COD,1997,2421
COG,1997,275
COL,1997,1508
CRI,1997,1
DEU,1997,2
DJI,1997,2424
ECU,1997,65
FRA,1997,3
GBR,1997,6
GHA,1997,379
GNB,1997,20555
GTM,1997,1263
HND,1997,100
HUN,1997,1
IDN,1997,66
IND,1997,2768
IRN,1997,1106
JPN,1997,89
KAZ,1997,4
KEN,1997,17200
KHM,1997,155
KOR,1997,10
KWT,1997,1
LBR,1997,91
LKA,1997,430
MEX,1997,2356
MLI,1997,6
MOZ,1997,8739
MRT,1997,462
MWI,1997,130
MYS,1997,389
NER,1997,259
NGA,1997,1322
NIC,1997,1283
NLD,1997,2
NPL,1997,245
PER,1997,3483
PHL,1997,605
RUS,1997,11
RWA,1997,274
SEN,1997,371
SGP,1997,19
SOM,1997,6814
TCD,1997,8801
TGO,1997,42
TKM,1997,55
TZA,1997,40249
UGA,1997,2610
USA,1997,4
VEN,1997,2551
VNM,1997,4
ZMB,1997,36
