Country,Year,Reported Cholera Cases
AGO,1996,1306
ARG,1996,474
AUS,1996,2
AUT,1996,1
BDI,1996,418
BEN,1996,6190
BFA,1996,425
BGD,1996,418
BLZ,1996,26
BOL,1996,2847
BRA,1996,5522
CAN,1996,2
CHL,1996,1
CHN,1996,316
CIV,1996,1345
CMR,1996,5796
COD,1996,7886
COL,1996,4428
CPV,1996,428
CRI,1996,19
ECU,1996,1059
ESP,1996,1
FRA,1996,8
FSM,1996,1
GBR,1996,13
GHA,1996,1665
GIN,1996,287
GMB,1996,7
GNB,1996,8397
GTM,1996,1568
HND,1996,708
IDN,1996,66
IND,1996,4396
IRQ,1996,1
JPN,1996,39
KEN,1996,482
KHM,1996,740
LAO,1996,720
LBR,1996,8922
MDG,1996,0
MEX,1996,1088
MLI,1996,5723
MNG,1996,177
MOZ,1996,0
MRT,1996,4534
MWI,1996,1
MYS,1996,1486
NER,1996,3957
NGA,1996,12374
NIC,1996,2813
NLD,1996,3
NPL,1996,274
PER,1996,4518
PHL,1996,1402
PRK,1996,7
PRY,1996,4
RUS,1996,4
RWA,1996,106
SEN,1996,16107
SGP,1996,19
SLV,1996,182
SOM,1996,10274
SWE,1996,1
SWZ,1996,2
TCD,1996,7830
TGO,1996,146
TZA,1996,1464
UGA,1996,291
USA,1996,3
VEN,1996,269
VNM,1996,566
ZMB,1996,2172
