Country,Year,Reported Cholera Cases
AGO,1990,9527
AUT,1990,2
BDI,1990,82
BGD,1990,82
CHN,1990,644
CMR,1990,16
COD,1990,468
DEU,1990,1
DNK,1990,1
DZA,1990,1299
ESP,1990,11
FRA,1990,6
FSM,1990,34
GBR,1990,6
GHA,1990,2937
IDN,1990,155
IND,1990,3583
IRN,1990,178
JOR,1990,2
JPN,1990,73
KHM,1990,5
MAR,1990,4573
MOZ,1990,4152
MWI,1990,13457
MYS,1990,2071
NLD,1990,3
NPL,1990,23888
NZL,1990,5
ROU,1990,270
RUS,1990,49
SGP,1990,26
STP,1990,804
TUV,1990,42
TZA,1990,2230
USA,1990,7
VNM,1990,358
ZMB,1990,3717
