Country,Year,Cholera Case Fatality Rate
AGO,1996,3.22
ARG,1996,1.05
AUS,1996,0
AUT,1996,0
BEN,1996,3.28
BFA,1996,13.65
BGD,1996,0
BLZ,1996,0
BOL,1996,2.39
BRA,1996,0.6
CAN,1996,0
CHL,1996,0
CHN,1996,1.27
CIV,1996,1.64
CMR,1996,8.37
COD,1996,8.09
COL,1996,1.58
CPV,1996,0.7
CRI,1996,5.26
ECU,1996,1.13
ESP,1996,0
FRA,1996,0
FSM,1996,0
GBR,1996,0
GHA,1996,4.2
GIN,1996,5.92
GMB,1996,0
GNB,1996,1
GTM,1996,0.89
HND,1996,1.98
IDN,1996,0
IND,1996,0.77
IRQ,1996,0
JPN,1996,0
KEN,1996,2.9
KHM,1996,2.7
LAO,1996,4.58
LBR,1996,1.89
MDG,1996,0
MEX,1996,0.46
MLI,1996,13.3
MNG,1996,6.78
MOZ,1996,0
MRT,1996,3.26
MWI,1996,0
MYS,1996,0
NER,1996,5.21
NGA,1996,9.64
NIC,1996,3.8
NLD,1996,0
NPL,1996,0.37
PER,1996,0.46
PHL,1996,1
PRY,1996,0
RUS,1996,25
RWA,1996,9.43
SEN,1996,4.75
SGP,1996,5.26
SLV,1996,1.1
SOM,1996,4.52
SWE,1996,0
SWZ,1996,0
TCD,1996,5.72
TGO,1996,11.64
TZA,1996,2.46
UGA,1996,13.75
USA,1996,0
VEN,1996,3.35
VNM,1996,0.35
ZMB,1996,1.93
