Country,Year,Reported Cholera Cases
AGO,2007,18422
AUS,2007,3
BDI,2007,365
CAN,2007,1
CHN,2007,168
CIV,2007,8
CMR,2007,10
COD,2007,28269
COG,2007,7785
COM,2007,1555
DEU,2007,2
DJI,2007,1087
ERI,2007,119
ESP,2007,2
ETH,2007,24121
FRA,2007,4
GBR,2007,32
GHA,2007,179
GIN,2007,8546
GMB,2007,12
GNB,2007,153
IND,2007,2635
IRN,2007,19
IRQ,2007,4697
ITA,2007,1
JPN,2007,0
KEN,2007,1206
LAO,2007,169
LBR,2007,3063
MOZ,2007,2622
MRT,2007,3
MWI,2007,475
MYS,2007,0
NAM,2007,14
NER,2007,24
NGA,2007,1661
NOR,2007,1
NPL,2007,264
PHL,2007,0
RUS,2007,1
RWA,2007,1453
SDN,2007,13731
SEN,2007,3984
SLE,2007,2219
SOM,2007,41643
STP,2007,90
SVN,2007,0
SWZ,2007,0
SYC,2007,178
TCD,2007,0
TGO,2007,65
THA,2007,1428
TZA,2007,1609
UGA,2007,276
UKR,2007,0
USA,2007,7
VNM,2007,1946
ZMB,2007,2286
ZWE,2007,65
