Country,Year,Reported Cholera Cases
AFG,2000,4330
AUS,2000,1
BDI,2000,1021
BEN,2000,468
BFA,2000,617
BGD,2000,1021
BRA,2000,715
CAN,2000,5
CHN,2000,1846
CMR,2000,123
COD,2000,14995
COG,2000,9
COM,2000,3297
DEU,2000,2
DJI,2000,1828
ECU,2000,27
FRA,2000,5
FSM,2000,3452
GBR,2000,33
GHA,2000,3331
GIN,2000,519
GTM,2000,612
HND,2000,8
IND,2000,4053
IRN,2000,345
IRQ,2000,532
JPN,2000,34
KEN,2000,1157
LBR,2000,365
LKA,2000,2
MDG,2000,29305
MEX,2000,5
MHL,2000,300
MLI,2000,1885
MOZ,2000,17649
MWI,2000,2391
MYS,2000,124
NER,2000,225
NGA,2000,2799
NIC,2000,12
NLD,2000,1
PER,2000,934
PHL,2000,275
RWA,2000,1235
SGP,2000,10
SLV,2000,631
SOM,2000,7496
SWZ,2000,141
TGO,2000,338
TZA,2000,4637
UGA,2000,2807
USA,2000,4
VEN,2000,141
ZAF,2000,19667
ZMB,2000,4504
ZWE,2000,1675
