Country,Year,Reported Cholera Deaths
AUS,1981,0
BDI,1981,11
BEL,1981,0
BEN,1981,0
CMR,1981,17
COD,1981,800
DEU,1981,0
GAB,1981,0
GBR,1981,0
GHA,1981,62
GRC,1981,0
IDN,1981,463
IND,1981,150
IRN,1981,108
JOR,1981,4
JPN,1981,0
KEN,1981,108
KWT,1981,0
LBR,1981,33
LKA,1981,57
ME1,1981,0
MMR,1981,3
MOZ,1981,132
MWI,1981,0
MYS,1981,14
NER,1981,0
NGA,1981,18
NOR,1981,0
NPL,1981,0
PAK,1981,0
PHL,1981,51
PRT,1981,0
RUS,1981,0
RWA,1981,1
SAU,1981,0
SEN,1981,0
SGP,1981,0
SWZ,1981,17
THA,1981,2
TZA,1981,330
VNM,1981,8
ZAF,1981,52
ZMB,1981,0
