Country,Year,Cholera Case Fatality Rate
AFG,1997,3
ARG,1997,1.88
AUS,1997,0
BDI,1997,4.85
BEN,1997,2.01
BGD,1997,4.85
BLZ,1997,0
BOL,1997,1.1
BRA,1997,1.28
CAF,1997,16.93
CHL,1997,0
CHN,1997,2.46
CMR,1997,10.53
COD,1997,13.47
COG,1997,21.82
COL,1997,2.12
CRI,1997,0
DEU,1997,0
DJI,1997,2.06
ECU,1997,4.62
FRA,1997,0
GBR,1997,0
GHA,1997,3.17
GNB,1997,4.4
GTM,1997,0
HND,1997,1
HUN,1997,0
IDN,1997,0
IND,1997,0.58
IRN,1997,0.81
JPN,1997,0
KAZ,1997,0
KEN,1997,3.23
KHM,1997,0
KOR,1997,0
LBR,1997,0
LKA,1997,2.79
MEX,1997,0.04
MLI,1997,50
MOZ,1997,2.96
MRT,1997,1.52
MWI,1997,11.54
MYS,1997,1.03
NER,1997,5.02
NGA,1997,10.14
NIC,1997,2.81
NLD,1997,0
NPL,1997,0
PER,1997,0.83
PHL,1997,0
RUS,1997,0
RWA,1997,5.84
SEN,1997,2.97
SGP,1997,0
SOM,1997,3.7
TCD,1997,5.03
TGO,1997,16.67
TKM,1997,0
TZA,1997,5.54
UGA,1997,7.2
USA,1997,0
VEN,1997,2.31
VNM,1997,0
ZMB,1997,0
