Country,Year,Reported Cholera Deaths
AFG,1995,624
AGO,1995,248
ARG,1995,1
AUS,1995,0
BEN,1995,12
BFA,1995,113
BGD,1995,61
BLR,1995,0
BLZ,1995,1
BOL,1995,54
BRA,1995,85
BTN,1995,0
CAN,1995,0
CHE,1995,0
CHN,1995,88
CIV,1995,184
CMR,1995,21
COD,1995,22
COL,1995,35
CPV,1995,240
CRI,1995,0
DEU,1995,0
DNK,1995,0
ECU,1995,23
ESP,1995,0
FIN,1995,0
FRA,1995,0
GBR,1995,0
GHA,1995,93
GIN,1995,565
GMB,1995,0
GNB,1995,0
GTM,1995,95
HND,1995,77
IND,1995,5
IRN,1995,59
IRQ,1995,3
ITA,1995,0
JPN,1995,1
KAZ,1995,0
KEN,1995,39
KHM,1995,123
KOR,1995,0
LAO,1995,174
LBR,1995,126
LBY,1995,2
MDA,1995,5
MEX,1995,137
MLI,1995,231
MMR,1995,6
MWI,1995,0
MYS,1995,27
NER,1995,15
NGA,1995,87
NIC,1995,164
NLD,1995,0
NOR,1995,0
NPL,1995,0
NZL,1995,0
PER,1995,171
PHL,1995,4
PRT,1995,0
ROU,1995,3
RUS,1995,0
RWA,1995,0
SEN,1995,160
SGP,1995,0
SLE,1995,447
SLV,1995,2
SOM,1995,191
SWE,1995,0
TGO,1995,4
TZA,1995,96
UGA,1995,66
UKR,1995,10
USA,1995,0
VNM,1995,45
