Country,Year,Cholera Case Fatality Rate
AFG,2014,0.0
AGO,2014,1.4
AUS,2014,0.0
BDI,2014,1.5
BEN,2014,1.4
CAN,2014,0.0
CHL,2014,0.0
CHN,2014,0.0
CIV,2014,5.1
CMR,2014,5.5
COD,2014,1.7
CUB,2014,0.0
DEU,2014,0.0
DOM,2014,1.8
FRA,2014,0.0
GBR,2014,0.0
GHA,2014,0.8
GIN,2014,0
GNB,2014,18.2
HTI,2014,1.1
IND,2014,0.5
JPN,2014,0.0
KEN,2014,25.7
LBR,2014,0
MEX,2014,0.0
MOZ,2014,0.2
MYS,2014,0.7
NAM,2014,2.7
NER,2014,3.9
NGA,2014,2.1
NPL,2014,0.2
PAK,2014,0.5
PHL,2014,0.2
RUS,2014,0.0
SGP,2014,0.0
SSD,2014,2.6
TGO,2014,4.2
THA,2014,0.0
UGA,2014,2.9
USA,2014,0.0
