Country,Year,Cholera Case Fatality Rate
AGO,2007,2.78
AUS,2007,0
BDI,2007,0.55
CAN,2007,0
CHN,2007,0
CIV,2007,12.5
CMR,2007,10
COD,2007,2.12
COG,2007,1.71
COM,2007,1.86
DEU,2007,0
DJI,2007,2.48
ERI,2007,7.56
ESP,2007,0
ETH,2007,1.13
FRA,2007,0
GBR,2007,0
GHA,2007,10.06
GIN,2007,3.64
GMB,2007,8.33
GNB,2007,5.23
IND,2007,0.11
IRN,2007,0
IRQ,2007,0.51
ITA,2007,0
JPN,2007,0
KEN,2007,5.56
LAO,2007,1.78
LBR,2007,0.23
MOZ,2007,0.84
MRT,2007,0
MWI,2007,1.05
MYS,2007,0
NAM,2007,0
NER,2007,8.33
NGA,2007,2.89
NOR,2007,0
NPL,2007,0
PHL,2007,0
RWA,2007,1.45
SDN,2007,3.64
SEN,2007,0.6
SLE,2007,3.79
SOM,2007,2.84
STP,2007,0
SVN,2007,0
SWZ,2007,0
SYC,2007,0.56
TCD,2007,0
TGO,2007,1.54
THA,2007,0.49
TZA,2007,4.04
UGA,2007,1.09
UKR,2007,0
USA,2007,0
VNM,2007,0
ZMB,2007,1.53
ZWE,2007,6.15
