Country,Year,Reported Cholera Cases
AFG,2010,2369
AGO,2010,1484
AUS,2010,3
BDI,2010,333
BEN,2010,983
CAN,2010,2
CHN,2010,157
CIV,2010,32
CMR,2010,10759
COD,2010,13884
DEU,2010,4
DJI,2010,2047
DOM,2010,191
ETH,2010,1682
GBR,2010,8
GHA,2010,438
HTI,2010,179379
IND,2010,5155
IRQ,2010,2
KEN,2010,3188
KHM,2010,588
KOR,2010,1
LAO,2010,237
LBR,2010,1546
MEX,2010,1
MOZ,2010,7430
MWI,2010,1155
MYS,2010,443
NER,2010,1154
NGA,2010,44456
NPL,2010,1790
PAK,2010,164
PHL,2010,33
PNG,2010,8997
RUS,2010,3
SEN,2010,3
SOM,2010,3510
TCD,2010,6395
TGO,2010,72
THA,2010,1974
TZA,2010,4469
UGA,2010,2341
USA,2010,15
VNM,2010,606
YEM,2010,300
ZMB,2010,6794
ZWE,2010,951
