Country,Year,Cholera Case Fatality Rate
AGO,1992,5.1
AUS,1992,0
BDI,1992,6.05
BEN,1992,4.12
BGD,1992,6.05
BLZ,1992,2.52
BOL,1992,1.77
BRA,1992,1.2
BTN,1992,1.21
CAN,1992,0
CHE,1992,0
CHL,1992,1.37
CHN,1992,0.17
CIV,1992,18.92
CMR,1992,5.21
COD,1992,3.03
COL,1992,1.04
CRI,1992,0
DEU,1992,0
DZA,1992,0
ECU,1992,0.65
GBR,1992,0
GHA,1992,10.09
GTM,1992,1.34
GUY,1992,1.39
HND,1992,4.18
IDN,1992,0
IND,1992,0.8
IRN,1992,4.12
IRQ,1992,0
JPN,1992,0
KEN,1992,2.95
KHM,1992,9.76
KOR,1992,0
LKA,1992,2.48
MEX,1992,1.21
MMR,1992,6.05
MOZ,1992,2.36
MWI,1992,2.68
MYS,1992,1.69
NGA,1992,7.9
NIC,1992,1.5
NPL,1992,1.88
PAN,1992,2.03
PER,1992,0.33
PHL,1992,0
ROU,1992,0
RWA,1992,6.96
SGP,1992,0
SLV,1992,0.52
SUR,1992,8.33
SWE,1992,0
SWZ,1992,1.32
TGO,1992,7.04
TUV,1992,2.73
TZA,1992,11.73
UGA,1992,2.05
USA,1992,0.97
VEN,1992,2.39
VNM,1992,2.58
YEM,1992,0
ZAF,1992,0
ZMB,1992,7.83
ZWE,1992,5.13
