Country,Year,Cholera Case Fatality Rate
AGO,1975,4.55
BEN,1975,2.22
BFA,1975,100
BGD,1975,2.39
CMR,1975,0
COM,1975,8.9
CPV,1975,15
DZA,1975,10.13
ESP,1975,0
FRA,1975,0
GBR,1975,0
GHA,1975,5.35
IDN,1975,7.68
IND,1975,10.57
ITA,1975,0
JPN,1975,0
KEN,1975,6.77
KHM,1975,0
KWT,1975,33.33
LBR,1975,2.27
LKA,1975,4.61
MMR,1975,5.85
MOZ,1975,27.27
MYS,1975,7.27
NGA,1975,2.63
NPL,1975,0
PHL,1975,2.21
PRT,1975,0.75
SAU,1975,52.75
SGP,1975,0
SYR,1975,8.96
THA,1975,6.59
UGA,1975,0
VNM,1975,0
YEM,1975,0
ZWE,1975,5.37
