Country,Year,Cholera Case Fatality Rate
AGO,1972,8.96
ARE,1972,0
AUS,1972,0
BEN,1972,11.6
BFA,1972,0
BGD,1972,18.98
BHR,1972,5.41
CMR,1972,7.46
DEU,1972,0
DJI,1972,37.5
DZA,1972,10.99
GBR,1972,0
GHA,1972,5.12
IDN,1972,15.67
IND,1972,13.92
ISR,1972,0
KEN,1972,0
LBR,1972,2.96
MAR,1972,0
MLI,1972,0
MMR,1972,3.89
MRT,1972,16.22
MYS,1972,1.27
NER,1972,23.53
NGA,1972,7.04
NPL,1972,0
NZL,1972,33.33
PHL,1972,1.39
SAU,1972,0
SEN,1972,9.76
SGP,1972,2.63
SYR,1972,4.95
TCD,1972,33.33
TGO,1972,0
TUN,1972,0
VNM,1972,0.68
YEM,1972,13.16
