Country,Year,Reported Cholera Cases
AFG,2002,3
ARE,2002,3
AUS,2002,5
AUT,2002,1
BDI,2002,577
BEN,2002,270
CAN,2002,4
CIV,2002,4188
CMR,2002,66
COD,2002,31658
COM,2002,1567
CZE,2002,2
DEU,2002,1
ESP,2002,1
FRA,2002,1
GAB,2002,6
GHA,2002,3614
GIN,2002,61
GNB,2002,842
GTM,2002,1
IND,2002,3455
IRN,2002,118
IRQ,2002,718
JPN,2002,27
KEN,2002,291
LBR,2002,1115
LKA,2002,9
MDG,2002,27
MLI,2002,18
MOZ,2002,24375
MRT,2002,80
MWI,2002,32618
NER,2002,236
NGA,2002,5429
NLD,2002,1
OMN,2002,1
PER,2002,16
QAT,2002,1
SAU,2002,38
SGP,2002,2
SOM,2002,2775
SWZ,2002,134
TGO,2002,257
TKM,2002,30
TZA,2002,11920
UGA,2002,2274
USA,2002,2
ZAF,2002,10004
ZMB,2002,339
ZWE,2002,3125
