Country,Year,Cholera Case Fatality Rate
AUS,1978,0
BDI,1978,2.99
BEN,1978,0
BFA,1978,0
BGD,1978,1.45
BHR,1978,0.22
CHE,1978,0
CMR,1978,0
COD,1978,5.26
COG,1978,27.45
DJI,1978,66.67
DZA,1978,5.91
GHA,1978,6.48
IDN,1978,4.75
IND,1978,2.32
IRQ,1978,0
JPN,1978,2.94
KEN,1978,2.53
KIR,1978,0
KWT,1978,0
LBR,1978,2.13
LKA,1978,4.17
MDV,1978,1.94
MMR,1978,10.48
MWI,1978,9.13
MYS,1978,3.91
NGA,1978,10.15
NLD,1978,0
NPL,1978,0.6
NRU,1978,0
PHL,1978,8.66
RWA,1978,5.73
SAU,1978,3.33
SEN,1978,2.54
SGP,1978,0
TGO,1978,100
THA,1978,2.94
TZA,1978,11.09
UGA,1978,9.82
VNM,1978,0
YEM,1978,2.9
ZMB,1978,13.69
