Country,Year,Reported Cholera Cases
AFG,2012,12
AGO,2012,1215
AUS,2012,5
BDI,2012,214
BEN,2012,625
BFA,2012,143
BHS,2012,1
CAF,2012,21
CHN,2012,77
CIV,2012,424
CMR,2012,363
COD,2012,33661
COG,2012,1181
CUB,2012,417
DOM,2012,7919
GBR,2012,17
GHA,2012,9548
GIN,2012,7350
GNB,2012,3068
HTI,2012,112076
IRN,2012,53
IRQ,2012,4693
JPN,2012,3
LBR,2012,219
MEX,2012,2
MLI,2012,219
MMR,2012,174
MOZ,2012,647
MWI,2012,187
MYS,2012,282
NER,2012,5284
NGA,2012,597
NPL,2012,34
PAK,2012,144
PHL,2012,1864
RUS,2012,1
RWA,2012,9
SEN,2012,1
SGP,2012,2
SLE,2012,23124
SOM,2012,22576
TGO,2012,61
THA,2012,29
TZA,2012,286
UGA,2012,6326
USA,2012,18
ZMB,2012,198
ZWE,2012,23
