Country,Year,Reported Cholera Cases
AGO,1975,88
BEN,1975,45
BFA,1975,3
BGD,1975,4888
CMR,1975,3
COM,1975,2675
CPV,1975,20
DEU,1975,1
DZA,1975,1165
ESP,1975,11
FRA,1975,9
GBR,1975,1
GHA,1975,187
IDN,1975,48387
IND,1975,22049
IRN,1975,2966
ITA,1975,1
JPN,1975,3
KEN,1975,1093
KHM,1975,66
KWT,1975,3
LBR,1975,704
LKA,1975,1453
MMR,1975,2942
MOZ,1975,11
MYS,1975,110
NGA,1975,38
NPL,1975,260
PHL,1975,680
PRT,1975,1066
SAU,1975,91
SGP,1975,10
SYR,1975,67
THA,1975,1335
UGA,1975,3
VNM,1975,5
YEM,1975,1
ZWE,1975,615
