Country,Year,Reported Cholera Cases
AUS,2004,2
BDI,2004,819
BEL,2004,1
BEN,2004,642
BRA,2004,21
CAF,2004,320
CAN,2004,3
CHN,2004,244
CIV,2004,105
CMR,2004,8005
COD,2004,7665
COL,2004,2
COM,2004,1
DEU,2004,3
DNK,2004,1
ECU,2004,5
ETH,2004,16
GBR,2004,13
GHA,2004,407
GIN,2004,1516
GNB,2004,155
GNQ,2004,59
IND,2004,4695
IRN,2004,94
IRQ,2004,35
JPN,2004,66
KEN,2004,870
KHM,2004,57
KOR,2004,10
LBR,2004,2786
MLI,2004,2839
MOZ,2004,20080
MWI,2004,675
MYS,2004,16
NER,2004,2178
NGA,2004,3186
NLD,2004,1
PHL,2004,533
QAT,2004,1
RUS,2004,1
RWA,2004,586
SEN,2004,1227
SGP,2004,11
SLE,2004,513
SOM,2004,4490
SWE,2004,1
SWZ,2004,1075
TCD,2004,5531
TGO,2004,1080
TZA,2004,10319
UGA,2004,3380
USA,2004,5
ZAF,2004,2767
ZMB,2004,12149
ZWE,2004,119
