Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
99583,COUNTRY,MOZ,AFR,Africa,1998,3.17,
105006,COUNTRY,NIC,AMR,Americas,1998,2.02,
221986,COUNTRY,CPV,AFR,Africa,1998,0.75,
244743,COUNTRY,TGO,AFR,Africa,1998,6.87,
516635,COUNTRY,JPN,WPR,Western Pacific,1998,0,
593060,COUNTRY,SGP,WPR,Western Pacific,1998,6.45,
800800,COUNTRY,CHN,WPR,Western Pacific,1998,0,
941070,COUNTRY,ZMB,AFR,Africa,1998,0,
1188022,COUNTRY,SOM,EMR,Eastern Mediterranean,1998,4.44,
1241246,COUNTRY,ARG,AMR,Americas,1998,0,
2458110,COUNTRY,BEN,AFR,Africa,1998,0.49,
2709586,COUNTRY,NPL,SEAR,South-East Asia,1998,0.97,
2840067,COUNTRY,COG,AFR,Africa,1998,0.68,
2975424,COUNTRY,AFG,EMR,Eastern Mediterranean,1998,0,
3148122,COUNTRY,GTM,AMR,Americas,1998,0.95,
3267641,COUNTRY,BDI,AFR,Africa,1998,2.44,
3533736,COUNTRY,LKA,SEAR,South-East Asia,1998,3.19,
3735810,COUNTRY,DJI,EMR,Eastern Mediterranean,1998,1.83,
3902088,COUNTRY,IND,SEAR,South-East Asia,1998,0.15,
4034670,COUNTRY,IRN,EMR,Eastern Mediterranean,1998,0.37,
4216368,COUNTRY,IRQ,EMR,Eastern Mediterranean,1998,1.89,
4449255,COUNTRY,ITA,EUR,Europe,1998,450,
4702641,COUNTRY,COD,AFR,Africa,1998,8.38,
4708000,COUNTRY,KEN,AFR,Africa,1998,5.51,
4735976,COUNTRY,ECU,AMR,Americas,1998,0.99,
5030942,COUNTRY,RUS,EUR,Europe,1998,0,
5093195,COUNTRY,USA,AMR,Americas,1998,0,
5111686,COUNTRY,CHL,AMR,Americas,1998,8.33,
5215730,COUNTRY,PHL,WPR,Western Pacific,1998,2.33,
5438549,COUNTRY,BOL,AMR,Americas,1998,1.5,
6282427,COUNTRY,NLD,EUR,Europe,1998,0,
6303616,COUNTRY,GNB,AFR,Africa,1998,1.59,
6692325,COUNTRY,ARM,EUR,Europe,1998,0,
6819633,COUNTRY,VNM,WPR,Western Pacific,1998,7.69,
7437039,COUNTRY,MEX,AMR,Americas,1998,0,
7604339,COUNTRY,COM,AFR,Africa,1998,0.93,
7695506,COUNTRY,SWZ,AFR,Africa,1998,0,
7716058,COUNTRY,SLV,AMR,Americas,1998,0,
7741181,COUNTRY,KHM,WPR,Western Pacific,1998,5.51,
8036979,COUNTRY,CAF,AFR,Africa,1998,13.64,
8068647,COUNTRY,UGA,AFR,Africa,1998,4.17,
8192716,COUNTRY,CAN,AMR,Americas,1998,0,
8259046,COUNTRY,GIN,AFR,Africa,1998,6.02,
8275431,COUNTRY,RWA,AFR,Africa,1998,2.3,
8344673,COUNTRY,BRA,AMR,Americas,1998,1.05,
8491865,COUNTRY,PER,AMR,Americas,1998,1.36,
8567830,COUNTRY,BFA,AFR,Africa,1998,5.02,
8728502,COUNTRY,ZAF,AFR,Africa,1998,5,
8796907,COUNTRY,FRA,EUR,Europe,1998,0,
8882278,COUNTRY,NOR,EUR,Europe,1998,0,
8914351,COUNTRY,GBR,EUR,Europe,1998,0,
9043157,COUNTRY,SLE,AFR,Africa,1998,2.72,
9399477,COUNTRY,ZWE,AFR,Africa,1998,4.42,
9567936,COUNTRY,MYS,WPR,Western Pacific,1998,1.46,
9744268,COUNTRY,TZA,AFR,Africa,1998,4.2,
9837516,COUNTRY,TCD,AFR,Africa,1998,3.52,
9903454,COUNTRY,LBR,AFR,Africa,1998,0.8,
10140336,COUNTRY,MWI,AFR,Africa,1998,4.24,
10149591,COUNTRY,BLZ,AMR,Americas,1998,3.57,
1218351,COUNTRY,BTN,SEAR,South-East Asia,1998,0,
1395319,COUNTRY,NZL,WPR,Western Pacific,1998,0,
2555856,COUNTRY,COL,AMR,Americas,1998,1.58,
5566896,COUNTRY,CMR,AFR,Africa,1998,6.87,
5953269,COUNTRY,GHA,AFR,Africa,1998,3.15,
7088433,COUNTRY,NGA,AFR,Africa,1998,5.4,
7247236,COUNTRY,VEN,AMR,Americas,1998,2.24,
8210205,COUNTRY,BGD,SEAR,South-East Asia,1998,2.44,
8697295,COUNTRY,HND,AMR,Americas,1998,4.25,
