Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
308481,COUNTRY,SGP,WPR,Western Pacific,1980,0,
979718,COUNTRY,ZAF,AFR,Africa,1980,1.86,
998519,COUNTRY,JPN,WPR,Western Pacific,1980,0,
1085682,COUNTRY,SAU,EMR,Eastern Mediterranean,1980,0,
1407106,COUNTRY,UGA,AFR,Africa,1980,11.76,
1827674,COUNTRY,KEN,AFR,Africa,1980,1.5,
2132617,COUNTRY,PRK,SEAR,South-East Asia,1980,0,
2290643,COUNTRY,IDN,SEAR,South-East Asia,1980,2.71,
2479943,COUNTRY,YEM,EMR,Eastern Mediterranean,1980,2.78,
2530121,COUNTRY,RWA,AFR,Africa,1980,13.33,
2684013,COUNTRY,THA,SEAR,South-East Asia,1980,1.96,
2892469,COUNTRY,ZMB,AFR,Africa,1980,29.82,
3132768,COUNTRY,COD,AFR,Africa,1980,7.71,
3221199,COUNTRY,MMR,SEAR,South-East Asia,1980,4.91,
3223040,COUNTRY,DEU,EUR,Europe,1980,0,
3524220,COUNTRY,VNM,WPR,Western Pacific,1980,5.01,
3946610,COUNTRY,NPL,SEAR,South-East Asia,1980,0,
4795321,COUNTRY,AUS,WPR,Western Pacific,1980,0,
4891125,COUNTRY,LKA,SEAR,South-East Asia,1980,3.85,
5078085,COUNTRY,ESP,EUR,Europe,1980,0,
5081668,COUNTRY,CMR,AFR,Africa,1980,10.04,
5103779,COUNTRY,FRA,EUR,Europe,1980,0,
5246427,COUNTRY,WSM,WPR,Western Pacific,1980,0,
5274381,COUNTRY,MOZ,AFR,Africa,1980,7.01,
5882691,COUNTRY,BEN,AFR,Africa,1980,0,
5989310,COUNTRY,NGA,AFR,Africa,1980,18.12,
7132792,COUNTRY,CHN,WPR,Western Pacific,1980,0,
7757624,COUNTRY,BEL,EUR,Europe,1980,0,
8042986,COUNTRY,SDN,EMR,Eastern Mediterranean,1980,11.76,
8762459,COUNTRY,IND,SEAR,South-East Asia,1980,3.68,
147858,COUNTRY,IRN,EMR,Eastern Mediterranean,1980,2,
1532359,COUNTRY,GHA,AFR,Africa,1980,8.08,
3224637,COUNTRY,DZA,AFR,Africa,1980,2.93,
6110219,COUNTRY,KOR,WPR,Western Pacific,1980,2.76,
7321182,COUNTRY,MYS,WPR,Western Pacific,1980,7.22,
8190465,COUNTRY,TZA,AFR,Africa,1980,11.3,
8428286,COUNTRY,LBR,AFR,Africa,1980,2.04,
8766817,COUNTRY,BDI,AFR,Africa,1980,1.37,
9753879,COUNTRY,PHL,WPR,Western Pacific,1980,7.3,
