Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
343590,COUNTRY,PHL,WPR,Western Pacific,1966,5.19,
2168537,COUNTRY,THA,SEAR,South-East Asia,1966,5.24,
4880357,COUNTRY,VNM,WPR,Western Pacific,1966,2,
4952933,COUNTRY,MMR,SEAR,South-East Asia,1966,6.46,
5583997,COUNTRY,IRQ,EMR,Eastern Mediterranean,1966,8.81,
6664240,COUNTRY,NPL,SEAR,South-East Asia,1966,0,
7287331,COUNTRY,MYS,WPR,Western Pacific,1966,0,
7375123,COUNTRY,IDN,SEAR,South-East Asia,1966,17.65,
7838039,COUNTRY,IND,SEAR,South-East Asia,1966,21.45,
7863229,COUNTRY,KHM,WPR,Western Pacific,1966,8.06,
9758561,COUNTRY,BGD,SEAR,South-East Asia,1966,39.12,
