Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
81726,COUNTRY,GHA,AFR,Africa,2002,1.8,
150682,COUNTRY,CMR,AFR,Africa,2002,12.12,
173144,COUNTRY,JPN,WPR,Western Pacific,2002,0,
510658,COUNTRY,GNB,AFR,Africa,2002,0.71,
624829,COUNTRY,CIV,AFR,Africa,2002,3.41,
1673057,COUNTRY,NGA,AFR,Africa,2002,2.84,
1969640,COUNTRY,IND,SEAR,South-East Asia,2002,0.29,
2791364,COUNTRY,MRT,AFR,Africa,2002,0,
3205374,COUNTRY,BDI,AFR,Africa,2002,1.39,
3417217,COUNTRY,LKA,SEAR,South-East Asia,2002,11.11,
3429769,COUNTRY,UGA,AFR,Africa,2002,5.85,
3872636,COUNTRY,COM,AFR,Africa,2002,2.94,
4218326,COUNTRY,TZA,AFR,Africa,2002,2.49,
4303292,COUNTRY,SWZ,AFR,Africa,2002,1.49,
5305312,COUNTRY,GTM,AMR,Americas,2002,0,
5321269,COUNTRY,MDG,AFR,Africa,2002,0,
5550935,COUNTRY,MOZ,AFR,Africa,2002,1.4,
5863104,COUNTRY,GIN,AFR,Africa,2002,18.03,
6482436,COUNTRY,COD,AFR,Africa,2002,6.25,
6527746,COUNTRY,PER,AMR,Americas,2002,0,
6605414,COUNTRY,ZMB,AFR,Africa,2002,3.54,
7199324,COUNTRY,KEN,AFR,Africa,2002,3.44,
7485432,COUNTRY,ZAF,AFR,Africa,2002,0.32,
7621049,COUNTRY,ZWE,AFR,Africa,2002,6.14,
8637735,COUNTRY,CAN,AMR,Americas,2002,0,
8644861,COUNTRY,MWI,AFR,Africa,2002,2.79,
9411546,COUNTRY,SOM,EMR,Eastern Mediterranean,2002,5.73,
9904675,COUNTRY,MLI,AFR,Africa,2002,11.11,
4108807,COUNTRY,TGO,AFR,Africa,2002,5.45,
4832172,COUNTRY,NER,AFR,Africa,2002,5.08,
5871389,COUNTRY,BEN,AFR,Africa,2002,4.81,
9236110,COUNTRY,LBR,AFR,Africa,2002,0,
9711412,COUNTRY,TKM,EUR,Europe,2002,6.67,
