Country,Year,Reported Cholera Cases
AFG,2008,4384
AGO,2008,10511
BDI,2008,234
BEN,2008,985
BFA,2008,0
BWA,2008,8
CAN,2008,1
CHN,2008,174
CIV,2008,7
CMR,2008,0
COD,2008,30150
COG,2008,156
COM,2008,4
DNK,2008,1
ERI,2008,1
ESP,2008,5
ETH,2008,3862
FIN,2008,1
FRA,2008,2
GAB,2008,2
GBR,2008,8
GHA,2008,1223
GIN,2008,513
GMB,2008,1
GNB,2008,14323
IDN,2008,1007
IND,2008,2680
IRN,2008,72
IRQ,2008,925
KAZ,2008,1
KEN,2008,3091
LAO,2008,201
LBR,2008,1236
MEX,2008,1
MLI,2008,153
MMR,2008,45
MOZ,2008,9087
MWI,2008,831
NAM,2008,3496
NER,2008,972
NGA,2008,5410
NLD,2008,5
RWA,2008,23
SDN,2008,17241
SEN,2008,1283
SLE,2008,62
SOM,2008,1281
STP,2008,119
SWZ,2008,1
SYC,2008,0
TGO,2008,397
THA,2008,436
TZA,2008,2911
UGA,2008,3726
USA,2008,5
VNM,2008,853
ZAF,2008,3907
ZMB,2008,2061
ZWE,2008,60055
