Country,Year,Reported Cholera Cases
AGO,1977,726
AUS,1977,2
BEN,1977,2
BGD,1977,10403
CHE,1977,1
DEU,1977,1
DJI,1977,2
DZA,1977,262
GBR,1977,2
GHA,1977,6565
IDN,1977,17112
IND,1977,8376
IRN,1977,10836
IRQ,1977,133
ITA,1977,2
JOR,1977,427
JPN,1977,52
KEN,1977,21
KIR,1977,1307
KWT,1977,13
LBN,1977,30
LBR,1977,512
LKA,1977,5
MOZ,1977,18
MWI,1977,577
MYS,1977,444
NGA,1977,376
NLD,1977,1
NPL,1977,428
PAK,1977,12
PHL,1977,1363
RUS,1977,1
SAU,1977,18
SGP,1977,11
SLE,1977,12
SYR,1977,2362
TGO,1977,132
THA,1977,383
TUR,1977,17
TZA,1977,297
VNM,1977,32
