Country,Year,Reported Cholera Deaths
AFG,2009,11
AGO,2009,88
BDI,2009,0
BEN,2009,1
BWA,2009,2
CAN,2009,0
CHN,2009,0
CIV,2009,2
CMR,2009,89
COD,2009,237
COG,2009,0
ETH,2009,434
FRA,2009,0
GBR,2009,0
GHA,2009,9
GIN,2009,0
GNB,2009,0
IRQ,2009,0
KEN,2009,264
KHM,2009,0
LBR,2009,2
MOZ,2009,155
MWI,2009,125
MYS,2009,1
NAM,2009,3
NGA,2009,431
NPL,2009,0
PNG,2009,45
PRY,2009,0
RWA,2009,0
SDN,2009,52
SEN,2009,0
SOM,2009,3
SWZ,2009,0
TCD,2009,6
TGO,2009,1
THA,2009,2
TZA,2009,113
UGA,2009,23
USA,2009,0
VNM,2009,1
YEM,2009,3
ZAF,2009,57
ZMB,2009,80
ZWE,2009,2706
