Country,Year,Reported Cholera Cases
AGO,1974,934
BEN,1974,73
BFA,1974,632
BGD,1974,5614
CMR,1974,83
CPV,1974,303
DEU,1974,3
DZA,1974,738
ESP,1974,5
FRA,1974,5
GBR,1974,3
GHA,1974,483
IDN,1974,41474
IND,1974,30903
IRN,1974,304
KEN,1974,402
KHM,1974,145
LBR,1974,512
LKA,1974,4559
MLI,1974,130
MMR,1974,2363
MOZ,1974,1018
MYS,1974,349
NER,1974,286
NPL,1974,8
PHL,1974,1730
PRT,1974,2467
SGP,1974,8
SWE,1974,1
TCD,1974,338
TGO,1974,58
THA,1974,1475
TZA,1974,10
VNM,1974,139
YEM,1974,6
ZAF,1974,37
ZWE,1974,37
