Country,Year,Reported Cholera Cases
AGO,1992,3608
AUS,1992,3
BDI,1992,479
BEL,1992,1
BEN,1992,413
BGD,1992,479
BLZ,1992,159
BOL,1992,22260
BRA,1992,30317
BTN,1992,494
CAN,1992,5
CHE,1992,1
CHL,1992,73
CHN,1992,583
CIV,1992,37
CMR,1992,1268
COD,1992,1949
COL,1992,15129
CRI,1992,12
DEU,1992,1
DZA,1992,69
ECU,1992,31870
GBR,1992,5
GHA,1992,228
GTM,1992,15395
GUY,1992,576
HND,1992,407
IDN,1992,25
IND,1992,6911
IRN,1992,97
IRQ,1992,97
JPN,1992,46
KEN,1992,3388
KHM,1992,1229
KOR,1992,6
LKA,1992,121
MEX,1992,8162
MMR,1992,826
MOZ,1992,30802
MWI,1992,298
MYS,1992,474
NGA,1992,8687
NIC,1992,3067
NPL,1992,798
PAN,1992,2416
PER,1992,242237
PHL,1992,345
ROU,1992,3
RUS,1992,6
RWA,1992,503
SGP,1992,17
SLV,1992,8717
SUR,1992,12
SWE,1992,1
SWZ,1992,2281
TGO,1992,753
TUV,1992,293
TZA,1992,18526
UGA,1992,5072
USA,1992,103
VEN,1992,2842
VNM,1992,4260
YEM,1992,4
ZAF,1992,11
ZMB,1992,11659
ZWE,1992,2048
