Country,Year,Reported Cholera Cases
AFG,1995,19903
AGO,1995,3295
ARG,1995,188
AUS,1995,5
BDI,1995,2297
BEN,1995,203
BFA,1995,1451
BGD,1995,2297
BLR,1995,3
BLZ,1995,19
BOL,1995,2293
BRA,1995,15915
BTN,1995,25
CAN,1995,7
CHE,1995,2
CHN,1995,10337
CIV,1995,4993
CMR,1995,615
COD,1995,553
COL,1995,1922
CPV,1995,12913
CRI,1995,24
DEU,1995,1
DNK,1995,3
ECU,1995,2160
ESP,1995,6
FIN,1995,1
FRA,1995,6
GBR,1995,10
GHA,1995,4698
GIN,1995,6506
GMB,1995,15
GNB,1995,119
GTM,1995,7970
HND,1995,4717
IND,1995,3315
IRN,1995,2177
IRQ,1995,820
ITA,1995,1
JPN,1995,321
KAZ,1995,16
KEN,1995,1547
KHM,1995,4190
KOR,1995,74
LAO,1995,1365
LBR,1995,3420
LBY,1995,22
MDA,1995,240
MEX,1995,16430
MLI,1995,2191
MMR,1995,1296
MWI,1995,1
MYS,1995,2209
NER,1995,264
NGA,1995,1059
NIC,1995,8825
NLD,1995,9
NOR,1995,1
NPL,1995,157
NZL,1995,2
PER,1995,22397
PHL,1995,847
PRT,1995,1
ROU,1995,118
RUS,1995,9
RWA,1995,3
SEN,1995,3332
SGP,1995,14
SLE,1995,10285
SLV,1995,2923
SOM,1995,9255
SWE,1995,2
TGO,1995,65
TZA,1995,2957
UGA,1995,538
UKR,1995,525
USA,1995,19
VNM,1995,6088
