Country,Year,Reported Cholera Cases
AFG,2011,3733
AGO,2011,1810
AUS,2011,6 
BDI,2011,1072
BEN,2011,755
BFA,2011,20
BHS,2011,1 
BRA,2011,1 
BRN,2011,3 
CAF,2011,117
CAN,2011,9 
CHL,2011,1 
CHN,2011,26 
CIV,2011,1261
CMR,2011,22433
COD,2011,21700
COG,2011,762
DEU,2011,4 
DJI,2011,127
DOM,2011,20851 
FRA,2011,1 
GBR,2011,32 
GHA,2011,10628
GIN,2011,3
HTI,2011,340311
IRN,2011,1187
JPN,2011,12 
KEN,2011,74
KOR,2011,3
LBR,2011,1146
MEX,2011,1
MLI,2011,2220
MMR,2011,16
MOZ,2011,1279
MRT,2011,46
MWI,2011,120
MYS,2011,586 
NER,2011,2324
NGA,2011,23377
NPL,2011,12
PAK,2011,527
PHL,2011,120
PNG,2011,1535
SEN,2011,5
SGP,2011,2 
SOM,2011,77636
SWE,2011,1 
TCD,2011,17267
TGO,2011,4
THA,2011,279
TZA,2011,942
UKR,2011,33
USA,2011,42 
VEN,2011,49 
VNM,2011,3
YEM,2011,31789
ZMB,2011,330
ZWE,2011,1220
